Tool,Ships,VersionsOnDisk,File,TypeName,VersionInFilename,VersionInType,FilenameTypeMismatch,Icon,IconStatus,IconGroup,IconMotif,IconPalette,SizeMB,ArchiveMB,Notes,Decision
AirConCondeserGenerator,SHIP,1,Sops/BuildingProps/AB.AirConCondeserGenerator.1.0.hda,AB::AirConCondeserGenerator::3.0,1.0,3.0,MISMATCH,SOP_AB__AirConCondeserGenerator.svg,ok,Rooftop,rooftop,steel,0.03,0,,
AntennaGenerator,SHIP,1,Sops/BuildingProps/AB.AntennaGenerator.1.0.hda,AB::AntennaGenerator::3.0,1.0,3.0,MISMATCH,SOP_AB__AntennaGenerator.svg,ok,Industrial / Large props,antenna,steel,0.01,0,,
ApartmentRow,superseded,3,Sops/Buildings/AB.ApartmentRow.1.0.hda,AB::ApartmentRow::1.0,1.0,1.0,,SOP_AB__ApartmentRow.svg,,City / Urban,buildings_cluster,steel,0.4,0.4,,
ApartmentRow,superseded,3,Sops/Buildings/AB.ApartmentRow.1.1.hda,AB::ApartmentRow::1.1,1.1,1.1,,SOP_AB__ApartmentRow.svg,,City / Urban,buildings_cluster,steel,0.4,0.4,,
ApartmentRow,SHIP,3,Sops/Buildings/AB.ApartmentRow.1.2.hda,AB::ApartmentRow::1.2,1.2,1.2,,SOP_AB__ApartmentRow.svg,ok,City / Urban,buildings_cluster,steel,0.4,0,,
ArchGenerator,SHIP,1,Sops/Modeling/AB.ArchGenerator.2.0.hda,AB::ArchGenerator::2.0,2.0,2.0,,SOP_AB__ArchGenerator.svg,ok,Facades / Windows / Doors,door,gold,0.05,0,,
ArchitecturalPlantOns,SHIP,1,Sops/PlantOns/AB.ArchitecturalPlantOns.2.0.hda,AB::ArchitecturalPlantOns::2.0,2.0,2.0,,SOP_AB__ArchitecturalPlantOns.svg,ok,Nature / Organic,plant,emerald,0.26,0,,
AwningGenerator,SHIP,1,Sops/BuildingProps/AB.AwningGenerator.2.0.hda,AB::AwningGenerator::2.0,2.0,2.0,,SOP_AB__AwningGenerator.svg,ok,Facades / Windows / Doors,balcony_rail,teal,0.05,0,,
BalconyGenerator,SHIP,1,Sops/BuildingProps/AB.BalconyGenerator.2.0.hda,AB::BalconyGenerator::2.0,2.0,2.0,,SOP_AB__BalconyGenerator.svg,ok,Facades / Windows / Doors,balcony_rail,steel,0.11,0,,
BarbwireGenerator,SHIP,1,Sops/Modeling/AB.BarbwireGenerator.2.0.hda,AB::BarbwireGenerator::2.0,2.0,2.0,,SOP_AB__BarbwireGenerator.svg,ok,Wires / Cables,wire_poles,steel,0.05,0,,
BillboardGenerator,superseded,2,Sops/CityProps/AB.BillboardGenerator.2.0.hda,AB::BillboardGenerator::2.0,2.0,2.0,,SOP_AB__BillboardGenerator.svg,,Signs / Billboards,billboard,amber,0.26,0.26,,
BillboardGenerator,SHIP,2,Sops/CityProps/AB.BillboardGenerator.2.1.hda,AB::BillboardGenerator::2.1,2.1,2.1,,SOP_AB__BillboardGenerator.svg,ok,Signs / Billboards,billboard,amber,0.24,0,,
BlocksRGB,SHIP,1,Sops/CityGen/AB.BlocksRGB.1.0.hda,AB::BlocksRGB::1.0,1.0,1.0,,SOP_AB__BlocksRGB.svg,ok,Data / Visualization,noise_grid,crimson,0.14,0,,
BridgeGenerator,SHIP,1,Sops/CityProps/AB.BridgeGenerator.2.0.hda,AB::BridgeGenerator::2.0,2.0,2.0,,SOP_AB__BridgeGenerator.svg,ok,Roads / Infrastructure,bridge,teal,0.19,0,,
BuildingFootprintGenerator,SHIP,1,Sops/Buildings/AB.BuildingFootprintGenerator.1.0.hda,AB::BuildingFootprintGenerator::1.0,1.0,1.0,,SOP_AB__BuildingFootprintGenerator.svg,ok,City / Urban,noise_grid,slate,0.03,0,,
BuildingLightGenerator,superseded,2,Sops/BuildingProps/AB.BuildingLightGenerator.2.0.hda,AB::BuildingLightGenerator::2.0,2.0,2.0,,SOP_AB__BuildingLightGenerator.svg,,City / Urban,single_tower,gold,0.08,0.08,,
BuildingLightGenerator,SHIP,2,Sops/BuildingProps/AB.BuildingLightGenerator.2.1.hda,AB::BuildingLightGenerator::2.1,2.1,2.1,,SOP_AB__BuildingLightGenerator.svg,ok,City / Urban,single_tower,gold,0.08,0,,
BusStopGenerator,SHIP,1,Sops/CityProps/AB.BusStopGenerator.2.0.hda,AB::BusStopGenerator::2.0,2.0,2.0,,SOP_AB__BusStopGenerator.svg,ok,Street props,street_prop,amber,0.05,0,,
ButtonPanels,superseded,4,Sops/Modeling/AB.ButtonPanels.1.0.hda,AB::ButtonPanels::1.0,1.0,1.0,,SOP_AB__ButtonPanels.svg,,Facades / Windows / Doors,window_facade,cyan,0.03,0.03,,
ButtonPanels,superseded,4,Sops/Modeling/OLD/AB.ButtonPanels.1.0.hda,AB::ButtonPanels::1.0,1.0,1.0,,SOP_AB__ButtonPanels.svg,,Facades / Windows / Doors,window_facade,cyan,0.03,0.03,,
ButtonPanels,superseded,4,Sops/Modeling/AB.ButtonPanels.1.1.hda,AB::ButtonPanels::1.1,1.1,1.1,,SOP_AB__ButtonPanels.svg,,Facades / Windows / Doors,window_facade,cyan,0.03,0.03,,
ButtonPanels,SHIP,4,Sops/Modeling/OLD/sop_AB.ButtonPanels.1.1.hda,AB::ButtonPanels::1.1,1.1,1.1,,SOP_AB__ButtonPanels.svg,ok,Facades / Windows / Doors,window_facade,cyan,0.03,0,,
CeramicPotGenerator,SHIP,1,Sops/SetDressing/AB.CeramicPotGenerator.1.0.hda,AB::CeramicPotGenerator::1.0,1.0,1.0,,SOP_AB__CeramicPotGenerator.svg,ok,Nature / Organic,plant,peach,0.01,0,,
ChainGenerator,SHIP,1,Sops/Modeling/AB.ChainGenerator.3.0.hda,AB::ChainGenerator::3.0,3.0,3.0,,SOP_AB__ChainGenerator.svg,ok,Wires / Cables,wire_poles,amber,0.02,0,,
CircularNoise,SHIP,1,Sops/Utilities/AB.CircularNoise.1.0.hda,AB::CircularNoise::1.0,1.0,1.0,,SOP_AB__CircularNoise.svg,ok,Math / Curves / Noise,radial,violet,0.01,0,,
CityGenerator,superseded,6,Sops/CityGen/AB.CityGenerator.2.0.hda,AB::CityGenerator::2.0,2.0,2.0,,SOP_AB__CityGenerator.svg,,City / Urban,buildings_cluster,emerald,0.22,0.22,,
CityGenerator,superseded,6,Sops/CityGen/AB.CityGenerator.2.1.hda,AB::CityGenerator::2.1,2.1,2.1,,SOP_AB__CityGenerator.svg,,City / Urban,buildings_cluster,emerald,0.24,0.24,,
CityGenerator,superseded,6,Sops/CityGen/AB.CityGenerator.2.2.hda,AB::CityGenerator::2.2,2.2,2.2,,SOP_AB__CityGenerator.svg,,City / Urban,buildings_cluster,emerald,0.28,0.28,,
CityGenerator,superseded,6,Sops/CityGen/AB.CityGenerator.2.3.hda,AB::CityGenerator::2.3,2.3,2.3,,SOP_AB__CityGenerator.svg,,City / Urban,buildings_cluster,emerald,0.27,0.27,,
CityGenerator,superseded,6,Sops/CityGen/AB.CityGenerator.2.4.hda,AB::CityGenerator::2.4,2.4,2.4,,SOP_AB__CityGenerator.svg,,City / Urban,buildings_cluster,emerald,0.36,0.36,,
CityGenerator,SHIP,6,Sops/CityGen/AB.CityGenerator.2.5.hda,AB::CityGenerator::2.5,2.5,2.5,,SOP_AB__CityGenerator.svg,ok,City / Urban,buildings_cluster,emerald,0.48,0,,
CityGridGenerator,superseded,5,Sops/CityGen/AB.CityGridGenerator.1.0.hda,AB::CityGridGenerator::1.0,1.0,1.0,,SOP_AB__CityGridGenerator.svg,,City / Urban,noise_grid,slate,0.06,0.06,,
CityGridGenerator,superseded,5,Sops/CityGen/AB.CityGridGenerator.1.1.hda,AB::CityGridGenerator::1.1,1.1,1.1,,SOP_AB__CityGridGenerator.svg,,City / Urban,noise_grid,slate,0.18,0.18,,
CityGridGenerator,superseded,5,Sops/CityGen/AB.CityGridGenerator.1.2.hda,AB::CityGridGenerator::1.2,1.2,1.2,,SOP_AB__CityGridGenerator.svg,,City / Urban,noise_grid,slate,0.1,0.1,,
CityGridGenerator,superseded,5,Sops/CityGen/AB.CityGridGenerator.1.3.hda,AB::CityGridGenerator::1.3,1.3,1.3,,SOP_AB__CityGridGenerator.svg,,City / Urban,noise_grid,slate,0.1,0.1,,
CityGridGenerator,SHIP,5,Sops/CityGen/AB.CityGridGenerator.1.4.hda,AB::CityGridGenerator::1.4,1.4,1.4,,SOP_AB__CityGridGenerator.svg,ok,City / Urban,noise_grid,slate,0.24,0,,
CliffordAttractor,SHIP,1,Sops/Scatters/AB.CliffordAttractor.1.0.hda,AB::CliffordAttractor::1.0,1.0,1.0,,SOP_AB__CliffordAttractor.svg,ok,Math / Curves / Noise,math_curve,violet,0.01,0,,
ColorByVelocity,SHIP,1,Sops/Utilities/AB.ColorByVelocity.1.0.hda,AB::ColorByVelocity::1.0,1.0,1.0,,SOP_AB__ColorByVelocity.svg,ok,VFX / Lightning,scatter,rose,0.02,0,,
CommercialSignGenerator,SHIP,1,Sops/CityProps/AB.CommercialSignGenerator.4.8.hda,AB::CommercialSignGenerator::4.8,4.8,4.8,,SOP_AB__CommercialSignGenerator.svg,ok,Signs / Billboards,billboard,violet,0.33,0,,
CopyByDensity,SHIP,1,Sops/CopyTools/AB.CopyByDensity.1_0.hda,AB::CopyByDensity::1.0,,1.0,,SOP_AB__CopyByDensity.svg,ok,Scatter / Copy,scatter_copy,teal,0.01,0,,
