Tool,State,Category,Versions,Shipping Version,All Versions,Size MB,Embedded Textures,Std Parms,Stock Icon,Has Help,Defects,Defect Notes,Owner,Notes
.ModulesModernist,Standardizing,Modules,1,1.0,1.0,0.0,0,,,yes,1,filename/type mismatch (AB::ModulesModernist::1.0),,
.PhylotaxisScatter,Standardizing,Scatters,1,1.0,1.0,0.0,0,,,yes,1,filename/type mismatch (AB::PhylotaxisScatter::1.0),,
AirConCondeserGenerator,Standardizing,BuildingProps,1,1.0,1.0,0.0,0,2,yes,yes,1,filename/type mismatch (AB::AirConCondeserGenerator::3.0),,
AntennaGenerator,Standardizing,BuildingProps,1,1.0,1.0,0.0,0,2,yes,yes,1,filename/type mismatch (AB::AntennaGenerator::3.0),,
ApartmentRow,Standardizing,Buildings,3,1.2,1.0 1.1 1.2,353.5,9,3,,yes,2,stale nested AB::BuildingLightGenerator::2.0; stale nested AB::DoorsCreateCopies::1.0,,
ArchGenerator,Standardizing,Modeling,1,2.0,2.0,0.0,0,1,yes,yes,0,,,
ArchitecturalPlantOns,Standardizing,PlantOns,1,2.0,2.0,0.3,0,0,yes,yes,0,,,
AwningGenerator,Dev,BuildingProps,1,2.0,2.0,0.0,0,1,yes,yes,1,MISSING nested AB::AwningMaker::2.0,,
BalconyGenerator,Dev,BuildingProps,1,2.0,2.0,48.2,5,1,,yes,1,MISSING nested AB::BalconyMaker::2.0,,
BarbwireGenerator,Standardizing,Modeling,1,2.0,2.0,0.0,0,1,yes,yes,0,,,
BillboardGenerator,Dev,CityProps,2,2.1,2.0 2.1,0.5,0,2,yes,yes,1,MISSING nested AB::CreateBillboard::1.0,,
BlocksRGB,Standardizing,CityGen,1,1.0,1.0,0.2,2,1,,yes,0,,,
BridgeGenerator,Dev,CityProps,1,2.0,2.0,0.2,0,0,yes,yes,1,MISSING nested AB::GenerateBridge::2.0,,
BuildingFootprintGenerator,Standardizing,Buildings,1,1.0,1.0,0.0,0,1,yes,yes,0,,,
BuildingLightGenerator,Standardizing,BuildingProps,2,2.1,2.0 2.1,0.2,0,2,yes,yes,1,stale nested AB::BuildingLightGenerator::2.0,,
BusStopGenerator,Standardizing,CityProps,1,2.0,2.0,0.1,0,0,yes,yes,0,,,
ButtonPanels,Standardizing,Modeling,3,1.1,1.0 1.0 1.1,0.1,0,0,yes,yes,1,stale nested AB::ButtonPanels::1.0,,
CeramicPotGenerator,Standardizing,SetDressing,1,1.0,1.0,0.0,0,0,yes,yes,0,,,
ChainGenerator,Standardizing,Modeling,1,3.0,3.0,0.0,0,0,yes,yes,0,,,
