ID,Area,Severity,Item,Scope,Detail,ProposedAction,Type,Status,Decision,Notes
AB-001,Identity,HIGH,Filename/type mismatch,AB..ModulesModernist.1.0.hda,AB::ModulesModernist::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-002,Identity,HIGH,Filename/type mismatch,AB..PhylotaxisScatter.1.0.hda,AB::PhylotaxisScatter::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-003,Identity,HIGH,Filename/type mismatch,AB.AirConCondeserGenerator.1.0.hda,AB::AirConCondeserGenerator::3.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-004,Identity,HIGH,Filename/type mismatch,AB.AntennaGenerator.1.0.hda,AB::AntennaGenerator::3.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-005,Identity,HIGH,Filename/type mismatch,AB.ModulesArtDeco.2.0.hda,AB::MModulesArtDeco::2.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-006,Identity,HIGH,Filename/type mismatch,AB.ModulesClassical.2.0.hda,AB::ModulesClassical::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-007,Identity,HIGH,Filename/type mismatch,AB.SateliteDishGenerator.1.0.hda,AB::SateliteDishGenerator::3.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-008,Identity,HIGH,Filename/type mismatch,AB.SignHighway.2.0.hda,AB::SignHighway::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-009,Identity,HIGH,Filename/type mismatch,AB.SmallBridgeGenerator.0.5.hda,AB::SmallBridgeGenerator::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-010,Identity,HIGH,Filename/type mismatch,AB.VDBBooleans.1.0.hda,AB::VDBooleans::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-011,Identity,HIGH,Filename/type mismatch,AB.WiresWithRings.1.0.1.0.hda,AB::WiresWithRings::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-012,Identity,HIGH,Filename/type mismatch,AB.WoodPlankGenerator.1.0.1.0.hda,AB::WoodPlankGenerator::1.0 - Filename version/name does not match the type it defines,"Rename file to match type, or bump type to match file - decide which is canonical",DECISION,,,
AB-013,Interface,HIGH,Fix inverted polarity parm,CityGenerator,Has turn_off_color - a library-wide UseColor=1 would turn colour OFF there,Rename and invert to match the standard,DECISION,,,
AB-014,Materials,HIGH,Author the metal set,"61 zones, 5 CC0 available",Metal is 41% of shading zones and the one real gap,"Author ~8 base metal looks in Copernicus, vary per zone",DECISION,,,
AB-015,Release,HIGH,Delete dead tools,TBD,Old/superseded tools should not ship,Identify and remove; needs your call per tool,DECISION,,,
AB-016,Textures,HIGH,Texture absent from library,AB.SkylightGenerator.2.0.hda,Metal_HexGrid_01_Trans_02.tga - opdef: points at 'SkylightCreator_' which no longer exists; file is NOT IN LIBRARY,Source or re-author,DECISION,,,
AB-017,Textures,HIGH,Licensing provenance audit,all embedded textures,Unknown source. Megascans is not redistributable; PolyHaven is CC0.,Trace every shipped texture to CC0 or in-house,DECISION,,,
AB-018,USD,HIGH,Build the USD material half,whole library,Zero material:binding in USD export. A SOP cannot author LOP-side Material prims.,"AB::MaterialLibrary LOP + AB::Bind LOP, porting the UXO pattern",DECISION,,,
AB-019,Versions,HIGH,Missing nested type,AB::AwningGenerator::2.0,AB::AwningMaker::2.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-020,Versions,HIGH,Missing nested type,AB::BalconyGenerator::2.0,AB::BalconyMaker::2.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-021,Versions,HIGH,Missing nested type,AB::BillboardGenerator::2.1,AB::CreateBillboard::1.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-022,Versions,HIGH,Missing nested type,AB::BridgeGenerator::2.0,AB::GenerateBridge::2.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-023,Versions,HIGH,Missing nested type,AB::ElectricalPropGenerator::2.0,AB::ElectricalProps::2.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-024,Versions,HIGH,Missing nested type,AB::ModulesGothic::2.0,AB::GT_rosette_window_001::1.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-025,Versions,HIGH,Missing nested type,AB::PoleGenerator::1.0,AB::Pole_Creator::1.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-026,Versions,HIGH,Missing nested type,AB::StreetSignGenerator::2.0,AB::StreetSigns::2.0 - Nested type does not exist on disk (renamed or deleted),"Identify the replacement tool and repoint, or remove the node",DECISION,,,
AB-027,Versions,HIGH,Collapse old versions,RoadSimpleGenerator has 15,192 files / 146 tools. A buyer seeing 15 versions concludes it is unmaintained.,Pick one shipping version per tool; archive the rest outside the scan path,DECISION,,,
AB-028,Zones,HIGH,Freeze the zone vocabulary,161 canonical zones,Zone names become Unreal component + USD prim names. Breaking after release.,Ratify vocabulary and alias map before publishing,DECISION,,,
AB-029,Textures,HIGH,Extract + dedupe embedded textures,43 unique across 144 copies,91% of library bytes. 96 broken refs repaired automatically.,"Extract to U:/Textures/AB_Embedded/, repoint all opdef refs",BULK JOB,,,
AB-030,Interface,MED,Tier the library,146 tools,103 have zero standard parms. One size does not fit scatters/volumes.,Assign Tier 1/2/3; drafted split is 77/31/38,DECISION,,,
AB-031,Interface,MED,Unify MaterialStyle menu,all tools,Menus disagree (2 vs 3 entries); indices are a contract,One 4-entry menu: Vertex Color / Principled / Unreal / MaterialX-USD,DECISION,,,
AB-032,Materials,MED,Author shader-only zones,"Glass 10, Emissive 5, Signage 3",Not scanned materials - shaders and artwork,Author; check font/artwork licensing,DECISION,,,
AB-033,Presentation,MED,Write Help sections,4 assets,Ship with no documentation at all,Author a Help section per asset,DECISION,,,
AB-034,Zones,MED,Fix illegal zone names,8 zones,Contain '/' used as a hierarchy separator; illegal in USD and Unreal,Rename at source in the owning tools,DECISION,,,
