File,TypeName,ScriptName,Match,Note
Obj/Utilities/AB.CameraFrustrum.1.0.hda,AB::CameraFrustrum::1.0,AB::CameraFrustrum::1.0,ok,
Obj/Utilities/AB.CameraPathToUE.1.0.hda,AB::CameraPathToUE::1.0,AB::CameraPathToUE::1.0,ok,
Obj/VFX/AB.LightningMaker.1.5.hda,AB::LightningMaker::1.5,AB::LightningMaker::1.5,ok,
Obj/VFX/AB.WallDestructionSystem.1.0.hda,AB::WallDestructionSystem::1.0,AB::WallDestructionSystem::1.0,ok,
Obj/VFX/AB.WoodFractue.1.0.hda,AB::WoodFractue::1.0,AB::WoodFractue::1.0,ok,
Sops/BuildingHelpers/AB.DoorsCreateCopies.1.0.hda,AB::DoorsCreateCopies::1.0,AOD::MD_WindowsCreateCopies::1.0,MISMATCH,legacy AOD lineage
Sops/BuildingHelpers/AB.DoorsCreateCopies.1.1.hda,AB::DoorsCreateCopies::1.1,AOD::MD_WindowsCreateCopies::1.0,MISMATCH,legacy AOD lineage
Sops/BuildingHelpers/AB.DoorsCreateCopies.1.2.hda,AB::DoorsCreateCopies::1.2,AOD::MD_WindowsCreateCopies::1.0,MISMATCH,legacy AOD lineage
Sops/BuildingHelpers/AB.GroupWalls.2.0.hda,AB::GroupWalls::2.0,RFX::UT_group_walls::1.1,MISMATCH,
Sops/BuildingHelpers/AB.RooftopProcessor.1.0.hda,AB::RooftopProcessor::1.0,AB::RooftopProcessor::1.0,ok,
Sops/BuildingHelpers/AB.WindowsCreateCopies.2.0.hda,AB::WindowsCreateCopies::2.0,AOD::MD_WindowsCreateCopies::1.0,MISMATCH,legacy AOD lineage
Sops/BuildingProps/AB.AirConCondeserGenerator.1.0.hda,AB::AirConCondeserGenerator::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.AntennaGenerator.1.0.hda,AB::AntennaGenerator::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.AwningGenerator.2.0.hda,AB::AwningGenerator::2.0,RFX::MD_awning_maker::1.0,MISMATCH,
Sops/BuildingProps/AB.BalconyGenerator.2.0.hda,AB::BalconyGenerator::2.0,AB::BalconyGenerator::2.0,ok,
Sops/BuildingProps/AB.BuildingLightGenerator.2.0.hda,AB::BuildingLightGenerator::2.0,AB::BuildingLightGenerator::2.0,ok,
Sops/BuildingProps/AB.BuildingLightGenerator.2.1.hda,AB::BuildingLightGenerator::2.1,AB::BuildingLightGenerator::2.0,MISMATCH,
Sops/BuildingProps/AB.DomeGenerator.1.0.hda,AB::DomeGenerator::1.0,RFX::create_domes::1.0,MISMATCH,
Sops/BuildingProps/AB.DoorGenerator.4.0.hda,AB::DoorGenerator::4.0,RFX::md_door_maker::1.0,MISMATCH,
Sops/BuildingProps/AB.ElectricalPropGenerator.2.0.hda,AB::ElectricalPropGenerator::2.0,AB::ElectricalPropGenerator::2.0,ok,
Sops/BuildingProps/AB.FireEscapeGenerator.2.0.hda,AB::FireEscapeGenerator::2.0,RFX::fire_escape_maker::1.0,MISMATCH,
Sops/BuildingProps/AB.LadderGenerator.2.0.hda,AB::LadderGenerator::2.0,AB::LadderGenerator::2.0,ok,
Sops/BuildingProps/AB.LargeWalls.1.0.hda,AB::LargeWalls::1.0,AB::LargeWalls::1.0,ok,
Sops/BuildingProps/AB.LowWalls.1.0.hda,AB::LowWalls::1.0,AB::LowWalls::1.0,ok,
Sops/BuildingProps/AB.LowWalls.1.1.hda,AB::LowWalls::1.1,AB::LowWalls::1.0,MISMATCH,
Sops/BuildingProps/AB.ModernLightGenerator.1.0.hda,AOD::ModernLightGenerator::1.0,AOD::ModernLightGenerator::1.0,ok,legacy AOD lineage
Sops/BuildingProps/AB.RoofVentGenerator.3.0.hda,AB::RoofVentGenerator::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.RooftopMechanicals.3.0.hda,AB::RooftopMechanicals::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.SateliteDishGenerator.1.0.hda,AB::SateliteDishGenerator::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.SkylightGenerator.2.0.hda,AB::SkylightGenerator::2.0,RFX::MD_simple_roof_skylight::2.0,MISMATCH,
Sops/BuildingProps/AB.SolarPanelGenerator.3.0.hda,AB::SolarPanelGenerator::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.StairGenerator.1.0.hda,AB::StairGenerator::1.0,AB::StairGenerator::1.0,ok,
Sops/BuildingProps/AB.StairwayTops.3.0.hda,AB::StairwayTops::3.0,RFX::MD_rooftop_props::1.0,MISMATCH,
Sops/BuildingProps/AB.WaterTankGenerator.2.0.hda,AB::WaterTankGenerator::2.0,AOD::MD::WaterTankMaker::1.5,MISMATCH,legacy AOD lineage
Sops/BuildingProps/AB.WindowGenerator.3.1.hda,AB::WindowGenerator::3.1,RFX::MD_window_maker::1.5,MISMATCH,
Sops/Buildings/AB.ApartmentRow.1.0.hda,AB::ApartmentRow::1.0,RFX::BD_downtown_building::3.0,MISMATCH,
