Ancestor,CurrentType,File,Needed?,Notes
AOD::BD_shanty_sci_fi_buildings::1.0,AB::FuturisticBuildings::2.0,Sops/Buildings/AB.FuturisticBuildings.2.0.hda,,
AOD::BD_shanty_sci_fi_buildings::1.0,AB::FuturisticBuildings::2.1,Sops/Buildings/AB.FuturisticBuildings.2.1.hda,,
AOD::BD_shanty_sci_fi_buildings::1.0,AB::FuturisticBuildings::2.2,Sops/Buildings/AB.FuturisticBuildings.2.2.hda,,
AOD::BlockSingle::1.0,AB::SingleBlockGenerator::2.0,Sops/CityGen/AB.SingleBlockGenerator.2.0.hda,,
AOD::MD::WaterTankMaker::1.5,AB::WaterTankGenerator::2.0,Sops/BuildingProps/AB.WaterTankGenerator.2.0.hda,,
AOD::MD_Valves::1.1,AB::ValveGenerator::2.0,Sops/Parts/AB.ValveGenerator.2.0.hda,,
AOD::MD_WindowsCreateCopies::1.0,AB::DoorsCreateCopies::1.0,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.0.hda,,
AOD::MD_WindowsCreateCopies::1.0,AB::DoorsCreateCopies::1.1,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.1.hda,,
AOD::MD_WindowsCreateCopies::1.0,AB::DoorsCreateCopies::1.2,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.2.hda,,
AOD::MD_WindowsCreateCopies::1.0,AB::WindowsCreateCopies::2.0,Sops/BuildingHelpers/AB.WindowsCreateCopies.2.0.hda,,
AOD::MD_create_barbwire::1.0,AB::BarbwireGenerator::2.0,Sops/Modeling/AB.BarbwireGenerator.2.0.hda,,
AOD::MOD.HardwareMaker::1.0,AB::HardwareMaker::2.0,Sops/Parts/AB.HardwareMaker.2.0.hda,,
AOD::MOD::ModulesArtDeco::1.0,AB::ModulesBrutalist::1.0,Sops/Modules/AB.ModulesBrutalist.1.0.hda,,
AOD::MOD::ModulesArtDeco::1.0,AB::ModulesClassical::1.0,Sops/Modules/AB.ModulesClassical.2.0.hda,,
AOD::MOD::ModulesArtDeco::1.0,AB::ModulesModernist::1.0,Sops/Modules/AB..ModulesModernist.1.0.hda,,
