folder,file,shape,content_w,content_h,aspect,fill,corners,edges,u0,v0,u1,v1
Highway_Signs_International,AccessibleSymbolBlack_X02C42.png,Rectangle,2040,2008,1.0159,0.9972,1.0,0.999,0.000488,0.009766,0.996582,0.990234
Highway_Signs_International,AxleWeightLimit4Point8t_X02B41.png,Circle,2034,2034,1.0,0.7854,0.002,0.988,0.004883,0.003418,0.998047,0.996582
Highway_Signs_International,BicycleFacility_X02D12.png,Rectangle,1380,2034,0.6785,0.9978,1.0,0.997,0.163086,0.003418,0.836914,0.996582
Highway_Signs_International,BlankProhibition_X02B24.png,Circle,2036,2036,1.0,0.7849,0.002,0.986,0.004395,0.00293,0.998535,0.99707
Highway_Signs_International,Cafe_X02D23.png,Rectangle,1386,2043,0.6784,0.9976,1.0,0.997,0.163086,0.001953,0.839844,0.999512
Highway_Signs_International,CampingTent_X02D15.png,Rectangle,1386,2042,0.6787,0.9981,1.0,0.998,0.162109,0.001465,0.838867,0.998535
Highway_Signs_International,CaravanSite_X02D16.png,Rectangle,1378,2031,0.6785,0.9982,1.0,0.998,0.163086,0.003906,0.835938,0.995605
Highway_Signs_International,CattleCrossing_X02A26.png,Triangle,2040,1788,1.1409,0.5441,0.5,0.423,0.00293,0.064941,0.999023,0.937988
Highway_Signs_International,ChildrenCrossing_X02A23.png,Triangle,2034,1784,1.1401,0.5439,0.5,0.421,0.001953,0.065918,0.995117,0.937012
Highway_Signs_International,CountryCodeAUS_X02E02.png,Ellipse,2033,1385,1.4679,0.7853,0.002,0.987,0.003906,0.163086,0.996582,0.839355
Highway_Signs_International,CountryCodeA_X02E01.png,Ellipse,2032,1378,1.4746,0.7811,0.002,0.965,0.002441,0.163574,0.994629,0.836426
Highway_Signs_International,CountryCodeBG_X02E04.png,Ellipse,2045,1392,1.4691,0.7855,0.002,0.987,0.000488,0.160156,0.999023,0.839844
Highway_Signs_International,CountryCodeBR_X02E05.png,Ellipse,2045,1392,1.4691,0.7855,0.002,0.987,0.000488,0.160156,0.999023,0.839844
Highway_Signs_International,CountryCodeB_X02E03.png,Ellipse,2033,1386,1.4668,0.7848,0.002,0.984,0.002441,0.161621,0.995117,0.838379
Highway_Signs_International,CountryCodeCDN_X02E06.png,Ellipse,2033,1386,1.4668,0.7848,0.002,0.984,0.004883,0.161621,0.997559,0.838379
Highway_Signs_International,CountryCodeCH_X02E07.png,Ellipse,2033,1385,1.4679,0.7853,0.002,0.986,0.004883,0.162109,0.997559,0.838379
Highway_Signs_International,CountryCodeCZ_X02E08.png,Ellipse,2034,1385,1.4686,0.785,0.002,0.985,0.003418,0.163086,0.996582,0.839355
Highway_Signs_International,CountryCodeDK_X02E10.png,Ellipse,2033,1386,1.4668,0.7848,0.002,0.984,0.004883,0.161621,0.997559,0.838379
Highway_Signs_International,CountryCodeD_X02E09.png,Ellipse,2044,1392,1.4684,0.7858,0.002,0.989,0.0,0.160156,0.998047,0.839844
Highway_Signs_International,CountryCodeE_X02E11.png,Ellipse,2033,1386,1.4668,0.7848,0.002,0.984,0.002441,0.161621,0.995117,0.838379
Highway_Signs_International,CountryCodeFIN_X02E13.png,Ellipse,2033,1386,1.4668,0.7848,0.002,0.984,0.003418,0.161621,0.996094,0.838379
Highway_Signs_International,CountryCodeF_X02E12.png,Ellipse,2044,1392,1.4684,0.7858,0.002,0.989,0.0,0.160156,0.998047,0.839844
