folder,old_name,new_name,descriptive_name,code,set,confidence
Highway_Signs_US,X01A01.png,Stop_X01A01.png,Stop,X01A01,Highway_Signs_US,high
Highway_Signs_US,X01A02.png,Yield_X01A02.png,Yield,X01A02,Highway_Signs_US,high
Highway_Signs_US,X01A03.png,PlaqueFourWay_X01A03.png,PlaqueFourWay,X01A03,Highway_Signs_US,high
Highway_Signs_US,X01A04.png,PlaqueAllWay_X01A04.png,PlaqueAllWay,X01A04,Highway_Signs_US,high
Highway_Signs_US,X01A05.png,SpeedLimit10_X01A05.png,SpeedLimit10,X01A05,Highway_Signs_US,high
Highway_Signs_US,X01A06.png,SpeedLimit15_X01A06.png,SpeedLimit15,X01A06,Highway_Signs_US,high
Highway_Signs_US,X01A07.png,SpeedLimit20_X01A07.png,SpeedLimit20,X01A07,Highway_Signs_US,high
Highway_Signs_US,X01A08.png,SpeedLimit25_X01A08.png,SpeedLimit25,X01A08,Highway_Signs_US,high
Highway_Signs_US,X01A09.png,SpeedLimit30_X01A09.png,SpeedLimit30,X01A09,Highway_Signs_US,high
Highway_Signs_US,X01A10.png,SpeedLimit35_X01A10.png,SpeedLimit35,X01A10,Highway_Signs_US,high
Highway_Signs_US,X01A11.png,SpeedLimit40_X01A11.png,SpeedLimit40,X01A11,Highway_Signs_US,high
Highway_Signs_US,X01A12.png,SpeedLimit45_X01A12.png,SpeedLimit45,X01A12,Highway_Signs_US,high
Highway_Signs_US,X01A13.png,SpeedLimit50_X01A13.png,SpeedLimit50,X01A13,Highway_Signs_US,high
Highway_Signs_US,X01A14.png,SpeedLimit55_X01A14.png,SpeedLimit55,X01A14,Highway_Signs_US,high
Highway_Signs_US,X01A15.png,SpeedLimit60_X01A15.png,SpeedLimit60,X01A15,Highway_Signs_US,high
Highway_Signs_US,X01A16.png,SpeedLimit65_X01A16.png,SpeedLimit65,X01A16,Highway_Signs_US,high
Highway_Signs_US,X01A17.png,SpeedLimit50Minimum30_X01A17.png,SpeedLimit50Minimum30,X01A17,Highway_Signs_US,high
Highway_Signs_US,X01A18.png,ReducedSpeedAhead_X01A18.png,ReducedSpeedAhead,X01A18,Highway_Signs_US,high
Highway_Signs_US,X01A19.png,SpeedZoneAhead_X01A19.png,SpeedZoneAhead,X01A19,Highway_Signs_US,high
Highway_Signs_US,X01A20.png,NoRightTurn_X01A20.png,NoRightTurn,X01A20,Highway_Signs_US,high
Highway_Signs_US,X01A21.png,NoLeftTurn_X01A21.png,NoLeftTurn,X01A21,Highway_Signs_US,high
Highway_Signs_US,X01A22.png,NoTurns_X01A22.png,NoTurns,X01A22,Highway_Signs_US,high
Highway_Signs_US,X01A23.png,NoUTurn_X01A23.png,NoUTurn,X01A23,Highway_Signs_US,high
Highway_Signs_US,X01A24.png,LeftTurnOnly_X01A24.png,LeftTurnOnly,X01A24,Highway_Signs_US,high
Highway_Signs_US,X01A25.png,RightTurnOnly_X01A25.png,RightTurnOnly,X01A25,Highway_Signs_US,high
Highway_Signs_US,X01A26.png,LaneLeftOrThrough_X01A26.png,LaneLeftOrThrough,X01A26,Highway_Signs_US,high
Highway_Signs_US,X01A27.png,LaneRightOrThrough_X01A27.png,LaneRightOrThrough,X01A27,Highway_Signs_US,high
Highway_Signs_US,X01A28.png,LeftLaneMustTurnLeft_X01A28.png,LeftLaneMustTurnLeft,X01A28,Highway_Signs_US,high
Highway_Signs_US,X01A29.png,RightLaneMustTurnRight_X01A29.png,RightLaneMustTurnRight,X01A29,Highway_Signs_US,high
Highway_Signs_US,X01A30.png,CenterLaneTurnOnly_X01A30.png,CenterLaneTurnOnly,X01A30,Highway_Signs_US,high
Highway_Signs_US,X01A31.png,RestrictedLaneAhead_X01A31.png,RestrictedLaneAhead,X01A31,Highway_Signs_US,high
Highway_Signs_US,X01A32.png,RestrictedLaneEnds_X01A32.png,RestrictedLaneEnds,X01A32,Highway_Signs_US,high
Highway_Signs_US,X01A33.png,DoNotPass_X01A33.png,DoNotPass,X01A33,Highway_Signs_US,high
Highway_Signs_US,X01A34.png,PassWithCare_X01A34.png,PassWithCare,X01A34,Highway_Signs_US,high
Highway_Signs_US,X01A35.png,KeepLeftSymbol_X01A35.png,KeepLeftSymbol,X01A35,Highway_Signs_US,medium
Highway_Signs_US,X01A36.png,KeepRightSymbol_X01A36.png,KeepRightSymbol,X01A36,Highway_Signs_US,medium
Highway_Signs_US,X01B01.png,SlowerTrafficKeepRight_X01B01.png,SlowerTrafficKeepRight,X01B01,Highway_Signs_US,high
Highway_Signs_US,X01B02.png,KeepRight_X01B02.png,KeepRight,X01B02,Highway_Signs_US,high
Highway_Signs_US,X01B03.png,KeepLeft_X01B03.png,KeepLeft,X01B03,Highway_Signs_US,high
Highway_Signs_US,X01B04.png,DoNotEnter_X01B04.png,DoNotEnter,X01B04,Highway_Signs_US,high
Highway_Signs_US,X01B05.png,WrongWay_X01B05.png,WrongWay,X01B05,Highway_Signs_US,high
Highway_Signs_US,X01B06.png,NoTrucksSymbol_X01B06.png,NoTrucksSymbol,X01B06,Highway_Signs_US,high
Highway_Signs_US,X01B07.png,NoTrucksSign_X01B07.png,NoTrucksSign,X01B07,Highway_Signs_US,high
Highway_Signs_US,X01B08.png,NoMotorVehicles_X01B08.png,NoMotorVehicles,X01B08,Highway_Signs_US,high
Highway_Signs_US,X01B09.png,CommercialVehiclesExcluded_X01B09.png,CommercialVehiclesExcluded,X01B09,Highway_Signs_US,high
Highway_Signs_US,X01B10.png,NoBicycles_X01B10.png,NoBicycles,X01B10,Highway_Signs_US,high
Highway_Signs_US,X01B11.png,OneWayRight_X01B11.png,OneWayRight,X01B11,Highway_Signs_US,high
Highway_Signs_US,X01B12.png,OneWayLeft_X01B12.png,OneWayLeft,X01B12,Highway_Signs_US,high
Highway_Signs_US,X01B13.png,PedestriansProhibited_X01B13.png,PedestriansProhibited,X01B13,Highway_Signs_US,high
Highway_Signs_US,X01B14.png,OneWayLeftStacked_X01B14.png,OneWayLeftStacked,X01B14,Highway_Signs_US,high
Highway_Signs_US,X01B15.png,OneWayRightStacked_X01B15.png,OneWayRightStacked,X01B15,Highway_Signs_US,high
Highway_Signs_US,X01B16.png,NoParkingAnyTimeLeft_X01B16.png,NoParkingAnyTimeLeft,X01B16,Highway_Signs_US,high
Highway_Signs_US,X01B17.png,NoParkingAnyTimeRight_X01B17.png,NoParkingAnyTimeRight,X01B17,Highway_Signs_US,high
Highway_Signs_US,X01B18.png,NoParkingTimeRestrictedRight_X01B18.png,NoParkingTimeRestrictedRight,X01B18,Highway_Signs_US,high
