tool,parm,ordinal,token,label
AB::AirConCondeserGenerator::3.0,MaterialStyle,0,0,Principled
AB::AirConCondeserGenerator::3.0,MaterialStyle,1,1,Unreal
AB::AirConCondeserGenerator::3.0,MaterialStyle,2,2,Unity
AB::AntennaGenerator::3.0,MaterialStyle,0,0,Principled
AB::AntennaGenerator::3.0,MaterialStyle,1,1,Unreal
AB::AntennaGenerator::3.0,MaterialStyle,2,2,Unity
AB::ApartmentRow::1.2,BuildingShape,0,0,Square
AB::ApartmentRow::1.2,BuildingShape,1,1,L
AB::ApartmentRow::1.2,BuildingShape,2,2,Arced Corner
AB::ApartmentRow::1.2,RS_DoorStyle,0,0,Single Light
AB::ApartmentRow::1.2,RS_DoorStyle,1,1,Multi Light
AB::ApartmentRow::1.2,RS_DoorStyle,2,3,Paneled
AB::ApartmentRow::1.2,RS_HandleStyle,0,0,Knob
AB::ApartmentRow::1.2,RS_HandleStyle,1,1,Lever
AB::ApartmentRow::1.2,RS_HandleStyle,2,2,Knob Fancy
AB::ApartmentRow::1.2,RS_HandleStyle,3,,Lever Antique
AB::ApartmentRow::1.2,handle_side,0,0,Right
AB::ApartmentRow::1.2,handle_side,1,1,Left
AB::ApartmentRow::1.2,WindowShape,0,0,Rectangle
AB::ApartmentRow::1.2,WindowShape,1,1,Round Top
AB::ApartmentRow::1.2,WindowShape,2,2,Bay
AB::ApartmentRow::1.2,WindowShape3,0,0,Rectangle
AB::ApartmentRow::1.2,WindowShape3,1,1,Round Top
AB::ApartmentRow::1.2,WindowShape3,2,2,Bay
AB::ApartmentRow::1.2,WindowShape4,0,0,Rectangle
AB::ApartmentRow::1.2,WindowShape4,1,1,Round Top
AB::ApartmentRow::1.2,WindowShape4,2,2,Bay
AB::ApartmentRow::1.2,WindowShape2,0,0,Rectangle
AB::ApartmentRow::1.2,WindowShape2,1,1,Round Top
AB::ApartmentRow::1.2,WindowShape2,2,2,Bay
AB::ApartmentRow::1.2,RoofStyle,0,0,Flat
AB::ApartmentRow::1.2,RoofStyle,1,1,Peaked
AB::ArchGenerator::2.0,MaterialStyle,0,0,Principled
AB::ArchGenerator::2.0,MaterialStyle,1,1,Unreal
AB::ArchGenerator::2.0,MaterialStyle,2,2,Unity
AB::ArchitecturalPlantOns::2.0,PlantOnStyle,0,0,Classic
AB::ArchitecturalPlantOns::2.0,PlantOnStyle,1,1,Rosettes
AB::ArchitecturalPlantOns::2.0,PlantOnStyle,2,2,Art Deco
AB::ArchitecturalPlantOns::2.0,PlantOnStyle,3,3,Fireplaces
AB::AwningGenerator::2.0,MaterialStyle,0,0,Principled
AB::AwningGenerator::2.0,MaterialStyle,1,1,Unreal
AB::AwningGenerator::2.0,MaterialStyle,2,2,Unity
AB::AwningGenerator::2.0,MaterialStyle,3,3,MaterialX
AB::AwningGenerator::2.0,AwningStyle,0,0,Traditional
AB::AwningGenerator::2.0,AwningStyle,1,1,Modern
AB::AwningGenerator::2.0,AwningStyle,2,2,Entry Way
AB::AwningGenerator::2.0,LowerDecorationShape,0,0,Circular
AB::AwningGenerator::2.0,LowerDecorationShape,1,1,Diamond
AB::AwningGenerator::2.0,LowerDecorationShape,2,2,Inset
AB::BalconyGenerator::2.0,MaterialStyle,0,0,Principled
AB::BalconyGenerator::2.0,MaterialStyle,1,1,Unreal
AB::BalconyGenerator::2.0,MaterialStyle,2,2,Unity
AB::BalconyGenerator::2.0,MaterialStyle,3,3,MaterialX
AB::BalconyGenerator::2.0,lightmap_style,0,0,Unreal Engine
AB::BalconyGenerator::2.0,lightmap_style,1,1,Unity
AB::BalconyGenerator::2.0,filletshape,0,none,None
AB::BalconyGenerator::2.0,filletshape,1,solid,Solid
