tool,nests_type,count
AB::AirConCondeserGenerator::3.0,boolean::2.0,2
AB::AirConCondeserGenerator::3.0,copytopoints::2.0,1
AB::AirConCondeserGenerator::3.0,fuse::2.0,1
AB::AirConCondeserGenerator::3.0,pbrdiffuse::3.0,12
AB::AirConCondeserGenerator::3.0,polyextrude::2.0,7
AB::AntennaGenerator::3.0,polyextrude::2.0,5
AB::ApartmentRow::1.2,AB::BuildingLightGenerator::2.0,1
AB::ApartmentRow::1.2,AB::DoorGenerator::4.0,1
AB::ApartmentRow::1.2,AB::DoorsCreateCopies::1.0,1
AB::ApartmentRow::1.2,AB::FancyCurves::2.0,3
AB::ApartmentRow::1.2,AB::GroupWalls::2.0,16
AB::ApartmentRow::1.2,AB::RoofVentGenerator::3.0,2
AB::ApartmentRow::1.2,AB::SkylightGenerator::2.0,1
AB::ApartmentRow::1.2,AB::StairwayTops::3.0,1
AB::ApartmentRow::1.2,AB::WindowGenerator::3.1,8
AB::ApartmentRow::1.2,AB::WindowsCreateCopies::2.0,8
AB::ApartmentRow::1.2,attribcreate::2.0,31
AB::ApartmentRow::1.2,copytopoints::2.0,23
AB::ApartmentRow::1.2,fuse::2.0,38
AB::ApartmentRow::1.2,measure::2.0,1
AB::ApartmentRow::1.2,polyextrude::2.0,25
AB::ApartmentRow::1.2,sweep::2.0,3
AB::ApartmentRow::1.2,uvflatten::3.0,2
AB::ApartmentRow::1.2,uvlayout::3.0,3
AB::ApartmentRow::1.2,uvtransform::2.0,1
AB::ArchGenerator::2.0,AB::FancyCurves::2.0,1
AB::ArchGenerator::2.0,AB::HardwareMaker::2.0,1
AB::ArchGenerator::2.0,attribcreate::2.0,3
AB::ArchGenerator::2.0,boolean::2.0,1
AB::ArchGenerator::2.0,copytopoints::2.0,2
AB::ArchGenerator::2.0,fuse::2.0,2
AB::ArchGenerator::2.0,geometryvopglobal::2.0,1
AB::ArchGenerator::2.0,polyextrude::2.0,5
AB::ArchGenerator::2.0,sweep::2.0,1
AB::ArchGenerator::2.0,uvlayout::3.0,1
AB::ArchitecturalPlantOns::2.0,dissolve::2.0,5
AB::ArchitecturalPlantOns::2.0,fuse::2.0,5
AB::ArchitecturalPlantOns::2.0,polybevel::2.0,6
AB::ArchitecturalPlantOns::2.0,polybevel::3.0,5
AB::ArchitecturalPlantOns::2.0,polyextrude::2.0,101
AB::ArchitecturalPlantOns::2.0,polysplit::2.0,47
AB::ArchitecturalPlantOns::2.0,revolve::2.0,4
AB::ArchitecturalPlantOns::2.0,sweep::2.0,2
AB::ArchitecturalPlantOns::2.0,uvflatten::3.0,12
AB::ArchitecturalPlantOns::2.0,uvlayout::2.0,4
AB::ArchitecturalPlantOns::2.0,uvlayout::3.0,15
AB::ArchitecturalPlantOns::2.0,uvtransform::2.0,4
AB::AwningGenerator::2.0,attribcreate::2.0,3
AB::AwningGenerator::2.0,fuse::2.0,2
AB::AwningGenerator::2.0,polyextrude::2.0,11
AB::AwningGenerator::2.0,principledshader::2.0,2
AB::AwningGenerator::2.0,uvlayout::3.0,2
AB::BalconyGenerator::2.0,AB::HardwareMaker::2.0,1
AB::BalconyGenerator::2.0,AB::MetalExtrusionMaker::2.0,1
AB::BalconyGenerator::2.0,attribcreate::2.0,7
AB::BalconyGenerator::2.0,bakeexports::2.0,2
AB::BalconyGenerator::2.0,computelighting::2.0,1
AB::BalconyGenerator::2.0,copytopoints::2.0,3
AB::BalconyGenerator::2.0,polybevel::2.0,2
AB::BalconyGenerator::2.0,polybevel::3.0,2
AB::BalconyGenerator::2.0,polyextrude::2.0,5
AB::BalconyGenerator::2.0,principledshader::2.0,2
AB::BalconyGenerator::2.0,surfacecolor::3.0,1
AB::BalconyGenerator::2.0,texture::2.0,1
AB::BalconyGenerator::2.0,uvcoords::2.0,3
AB::BalconyGenerator::2.0,uvlayout::3.0,2
AB::BarbwireGenerator::2.0,attribcreate::2.0,2
