tool,inner_node,node_type,parm_family,n_referenced,n_in_family,confidence,literals,referenced
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/create_fans/transform5,xform,,1,4,medium,parmgroup_pivotxform=1 px=0 py=0 pz=0,tz
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/create_fans/transform7,xform,,1,4,medium,parmgroup_pivotxform=1 px=0 py=0 pz=0,tz
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_1/parm_metallic,parameter,,1,1,medium,rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_1/parm_reflecttint,parameter,,1,1,medium,rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_1/parm_coat,parameter,,1,1,medium,rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_1/parm_basecolor,parameter,,1,5,medium,parmtype=19 colordefr=0.2 colordefg=0.2 colordefb=0.2 rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_2/parm_metallic,parameter,,1,1,medium,rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_2/parm_reflecttint,parameter,,1,1,medium,rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_2/parm_coat,parameter,,1,1,medium,rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_2/parm_basecolor,parameter,,1,5,medium,parmtype=19 colordefr=0.2 colordefg=0.2 colordefb=0.2 rangeint2=1,parmprefix
AB::AirConCondeserGenerator::3.0,/obj/AnalysisHolder/probe_1/create_ac_condensers/mats/RP_3/parm_metallic,parameter,,1,1,medium,rangeint2=1,parmprefix
