tool,parm,label,type,components,default,menu_items
AB::AirConCondeserGenerator::3.0,MaterialStyle,Material Style,Menu,1,0,3
AB::AirConCondeserGenerator::3.0,PropTypeToolMode,Prop Type,Int,1,0,0
AB::AirConCondeserGenerator::3.0,ToolModeOn,Tool Mode On,Toggle,1,False,0
AB::AirConCondeserGenerator::3.0,uv_layout_on,UV Layout,Toggle,1,False,0
AB::AirConCondeserGenerator::3.0,light_map_uvs,Light Maps On,Toggle,1,False,0
AB::AirConCondeserGenerator::3.0,vis_uvs,Vis UV,Toggle,1,False,0
AB::AirConCondeserGenerator::3.0,use_color,Use Color,Toggle,1,True,0
AB::AntennaGenerator::3.0,MaterialStyle,Material Style,Menu,1,0,3
AB::AntennaGenerator::3.0,PropTypeToolMode,Prop Type,Int,1,0,0
AB::AntennaGenerator::3.0,ToolModeOn,Tool Mode On,Toggle,1,False,0
AB::AntennaGenerator::3.0,uv_layout_on,UV Layout,Toggle,1,False,0
AB::AntennaGenerator::3.0,light_map_uvs,Light Maps On,Toggle,1,False,0
AB::AntennaGenerator::3.0,vis_uvs,Vis UV,Toggle,1,False,0
AB::AntennaGenerator::3.0,use_color,Use Color,Toggle,1,True,0
AB::ApartmentRow::1.2,ABApartentRow,AB Apartent Row,Label,1,,0
AB::ApartmentRow::1.2,labelparm,Message,Label,1,,0
AB::ApartmentRow::1.2,sepparm24,,Separator,0,,0
AB::ApartmentRow::1.2,tool_mode_on,Tool Mode,Toggle,1,False,0
AB::ApartmentRow::1.2,UVLayoutOn,UV Layout,Toggle,1,False,0
AB::ApartmentRow::1.2,LightmapsOn,Lightmaps On,Toggle,1,False,0
AB::ApartmentRow::1.2,UdimOn,UDIM On,Toggle,1,True,0
AB::ApartmentRow::1.2,vis_uv,Vis UV,Toggle,1,False,0
AB::ApartmentRow::1.2,use_color,Use Color,Toggle,1,True,0
AB::ApartmentRow::1.2,sepparm12,,Separator,0,,0
AB::ApartmentRow::1.2,BaseBuildingOptions,Base Building Options,Label,1,,0
AB::ApartmentRow::1.2,BuildingShape,Building Shape,Menu,1,0,3
AB::ApartmentRow::1.2,sepparm7,,Separator,0,,0
AB::ApartmentRow::1.2,BuildingWidth,Building Width,Int,1,20,0
AB::ApartmentRow::1.2,BuildingDepth,Building Depth,Int,1,45,0
AB::ApartmentRow::1.2,base_mod_size,Base Module Size,Int,1,4,0
AB::ApartmentRow::1.2,sepparm14,,Separator,0,,0
AB::ApartmentRow::1.2,CornerOptions,Corner Options,Label,1,,0
AB::ApartmentRow::1.2,sepparm13,,Separator,0,,0
AB::ApartmentRow::1.2,BldCornerSize,Building Corner Size,Float,1,3.0,0
AB::ApartmentRow::1.2,BldCornerDepth,Building Corner Depth,Float,1,0.8,0
AB::ApartmentRow::1.2,rows,Rows,Int,1,20,0
AB::ApartmentRow::1.2,sepparm15,,Separator,0,,0
AB::ApartmentRow::1.2,FloorOptions,Floor Options,Label,1,,0
AB::ApartmentRow::1.2,sepparm16,,Separator,0,,0
AB::ApartmentRow::1.2,LowerFloorHeight,Lower Floor Height,Int,1,2,0
AB::ApartmentRow::1.2,EntryFloorHeight,Entry Floor Height,Int,1,5,0
AB::ApartmentRow::1.2,AddMezzanine,Add Mezzanine,Toggle,1,True,0
AB::ApartmentRow::1.2,MZ_WallHeight,Mezzanine Height,Float,1,4.0,0
AB::ApartmentRow::1.2,MidFloorHeight,Mid Floor Height,Int,1,4,0
AB::ApartmentRow::1.2,MidFloorNumber,Mid Floor Number,Int,1,2,0
AB::ApartmentRow::1.2,TopFloorHeight,Top Floor Height,Int,1,5,0
AB::ApartmentRow::1.2,TopHeight,Top Height,Int,1,2,0
AB::ApartmentRow::1.2,sepparm18,,Separator,0,,0
AB::ApartmentRow::1.2,DoorOptions,Door Options,Label,1,,0
AB::ApartmentRow::1.2,sepparm17,,Separator,0,,0
