tool,namespace,name,version,category,file,n_parms,n_inner_nodes,n_orphan_flags,unresolved_types,instantiate_error
AB::AirConCondeserGenerator::3.0,AB,AirConCondeserGenerator,3.0,Sop,U:/Git/AssetBashTools/Sops/BuildingProps/AB.AirConCondeserGenerator.1.0.hda,7,1793,53,,
AB::AntennaGenerator::3.0,AB,AntennaGenerator,3.0,Sop,U:/Git/AssetBashTools/Sops/BuildingProps/AB.AntennaGenerator.1.0.hda,7,23,0,,
AB::ApartmentRow::1.2,AB,ApartmentRow,1.2,Sop,U:/Git/AssetBashTools/Sops/Buildings/AB.ApartmentRow.1.2.hda,97,1730,156,,
AB::ArchGenerator::2.0,AB,ArchGenerator,2.0,Sop,U:/Git/AssetBashTools/Sops/Modeling/AB.ArchGenerator.2.0.hda,10,168,5,,
AB::ArchitecturalPlantOns::2.0,AB,ArchitecturalPlantOns,2.0,Sop,U:/Git/AssetBashTools/Sops/PlantOns/AB.ArchitecturalPlantOns.2.0.hda,3,747,6,,
AB::AwningGenerator::2.0,AB,AwningGenerator,2.0,Sop,U:/Git/AssetBashTools/Sops/BuildingProps/AB.AwningGenerator.2.0.hda,20,126,18,,
AB::BalconyGenerator::2.0,AB,BalconyGenerator,2.0,Sop,U:/Git/AssetBashTools/Sops/BuildingProps/AB.BalconyGenerator.2.0.hda,30,586,41,,
AB::BarbwireGenerator::2.0,AB,BarbwireGenerator,2.0,Sop,U:/Git/AssetBashTools/Sops/Modeling/AB.BarbwireGenerator.2.0.hda,20,62,7,,
AB::BillboardGenerator::2.1,AB,BillboardGenerator,2.1,Sop,U:/Git/AssetBashTools/Sops/Signs/AB.BillboardGenerator.2.1.hda,56,3065,240,,
AB::BlocksRGB::1.0,AB,BlocksRGB,1.0,Sop,U:/Git/AssetBashTools/Sops/CityGen/AB.BlocksRGB.1.0.hda,28,628,13,AOD::BlockSingle::1.3,
AB::BridgeGenerator::2.0,AB,BridgeGenerator,2.0,Sop,U:/Git/AssetBashTools/Sops/CityProps/AB.BridgeGenerator.2.0.hda,17,1118,101,,
AB::BuildingFootprintGenerator::1.0,AB,BuildingFootprintGenerator,1.0,Sop,U:/Git/AssetBashTools/Sops/Buildings/AB.BuildingFootprintGenerator.1.0.hda,6,186,58,,
AB::BuildingLightGenerator::2.1,AB,BuildingLightGenerator,2.1,Sop,U:/Git/AssetBashTools/Sops/BuildingProps/AB.BuildingLightGenerator.2.1.hda,34,284,29,,
AB::BusStopGenerator::2.0,AB,BusStopGenerator,2.0,Sop,U:/Git/AssetBashTools/Sops/CityProps/AB.BusStopGenerator.2.0.hda,27,160,23,,
AB::ButtonPanels::1.1,AB,ButtonPanels,1.1,Sop,U:/Git/AssetBashTools/Sops/Modeling/AB.ButtonPanels.1.1.hda,14,83,9,,
