type,name,file,icon_property,embedded_sections,matching_icon_file,state
AB::AirConCondeserGenerator::3.0,AirConCondeserGenerator,Sops/BuildingProps/AB.AirConCondeserGenerator.1.0.hda,SOP_subnet,,SOP_AB__AirConCondeserGenerator.svg,stock
AB::AntennaGenerator::3.0,AntennaGenerator,Sops/BuildingProps/AB.AntennaGenerator.1.0.hda,SOP_subnet,,SOP_AB__AntennaGenerator.svg,stock
AB::ApartmentRow::1.2,ApartmentRow,Sops/Buildings/AB.ApartmentRow.1.2.hda,opdef:/AB::Sop/ApartmentRow::1.2?IconImage,IconImage,SOP_AB__ApartmentRow.svg,has-custom
AB::ArchGenerator::2.0,ArchGenerator,Sops/Modeling/AB.ArchGenerator.2.0.hda,SOP_subnet,,SOP_AB__ArchGenerator.svg,stock
AB::ArchitecturalPlantOns::2.0,ArchitecturalPlantOns,Sops/PlantOns/AB.ArchitecturalPlantOns.2.0.hda,SOP_subnet,,SOP_AB__ArchitecturalPlantOns.svg,stock
AB::AwningGenerator::2.0,AwningGenerator,Sops/BuildingProps/AB.AwningGenerator.2.0.hda,SOP_subnet,,SOP_AB__AwningGenerator.svg,stock
AB::BalconyGenerator::2.0,BalconyGenerator,Sops/BuildingProps/AB.BalconyGenerator.2.0.hda,opdef:/AB::Sop/BalconyGenerator::2.0?IconImage,IconImage,SOP_AB__BalconyGenerator.svg,has-custom
AB::BarbwireGenerator::2.0,BarbwireGenerator,Sops/Modeling/AB.BarbwireGenerator.2.0.hda,SOP_subnet,,SOP_AB__BarbwireGenerator.svg,stock
AB::BillboardGenerator::2.1,BillboardGenerator,Sops/Signs/AB.BillboardGenerator.2.1.hda,SOP_subnet,,SOP_AB__BillboardGenerator.svg,stock
AB::BlocksRGB::1.0,BlocksRGB,Sops/CityGen/AB.BlocksRGB.1.0.hda,opdef:/AB::Sop/BlocksRGB::1.0?IconSVG,AOD-HO-icon-assembleBlocks.svg;IconSVG,SOP_AB__BlocksRGB.svg,has-custom
AB::BridgeGenerator::2.0,BridgeGenerator,Sops/CityProps/AB.BridgeGenerator.2.0.hda,SOP_subnet,,SOP_AB__BridgeGenerator.svg,stock
AB::BuildingFootprintGenerator::1.0,BuildingFootprintGenerator,Sops/Buildings/AB.BuildingFootprintGenerator.1.0.hda,SOP_subnet,,SOP_AB__BuildingFootprintGenerator.svg,stock
AB::BuildingLightGenerator::2.1,BuildingLightGenerator,Sops/BuildingProps/AB.BuildingLightGenerator.2.1.hda,SOP_subnet,,SOP_AB__BuildingLightGenerator.svg,stock
AB::BusStopGenerator::2.0,BusStopGenerator,Sops/CityProps/AB.BusStopGenerator.2.0.hda,SOP_subnet,,SOP_AB__BusStopGenerator.svg,stock
AB::ButtonPanels::1.1,ButtonPanels,Sops/Modeling/AB.ButtonPanels.1.1.hda,SOP_subnet,,SOP_AB__ButtonPanels.svg,stock
AB::CameraFrustrum::1.0,CameraFrustrum,Obj/Utilities/AB.CameraFrustrum.1.0.hda,OBJ_geo,,SOP_AB__CameraFrustrum.svg,other
AB::CameraPathToUE::1.0,CameraPathToUE,Obj/Utilities/AB.CameraPathToUE.1.0.hda,MISC_digital_asset,,SOP_AB__CameraPathToUE.svg,other
AB::CeramicPotGenerator::1.0,CeramicPotGenerator,Sops/SetDressing/AB.CeramicPotGenerator.1.0.hda,SOP_subnet,,SOP_AB__CeramicPotGenerator.svg,stock
AB::ChainGenerator::3.0,ChainGenerator,Sops/Modeling/AB.ChainGenerator.3.0.hda,SOP_subnet,,SOP_AB__ChainGenerator.svg,stock
AB::CircularNoise::1.0,CircularNoise,Sops/Utilities/AB.CircularNoise.1.0.hda,SOP_subnet,,SOP_AB__CircularNoise.svg,stock
AB::CityGenerator::2.5,CityGenerator,Sops/CityGen/AB.CityGenerator.2.5.hda,opdef:/AB::Sop/CityGenerator::2.5?IconSVG,AOD-HO-ICON-DowntownBuildingFromBlocks.svg;IconSVG,SOP_AB__CityGenerator.svg,has-custom
AB::CityGridGenerator::1.4,CityGridGenerator,Sops/CityGen/AB.CityGridGenerator.1.4.hda,opdef:/AB::Sop/CityGridGenerator::1.4?IconSVG,AOD-HO-icon-assembleBlocks.svg;IconSVG,SOP_AB__CityGridGenerator.svg,has-custom
AB::CliffordAttractor::1.0,CliffordAttractor,Sops/Scatters/AB.CliffordAttractor.1.0.hda,SOP_subnet,,SOP_AB__CliffordAttractor.svg,stock
AB::ColorByVelocity::1.0,ColorByVelocity,Sops/Utilities/AB.ColorByVelocity.1.0.hda,SOP_subnet,,SOP_AB__ColorByVelocity.svg,stock
AB::CommercialSignGenerator::4.8,CommercialSignGenerator,Sops/Signs/AB.CommercialSignGenerator.4.8.hda,opdef:/AB::Sop/CommercialSignGenerator::4.8?IconSVG,IconSVG,SOP_AB__CommercialSignGenerator.svg,has-custom
AB::CopyByDensity::1.0,CopyByDensity,Sops/CopyTools/AB.CopyByDensity.1_0.hda,SOP_subnet,,SOP_AB__CopyByDensity.svg,stock
AB::CopyWithRotation::1.0,CopyWithRotation,Sops/CopyTools/AB.CopyWithRotation.1.0.hda,SOP_subnet,,SOP_AB__CopyWithRotation.svg,stock
AB::CreateCircuitCurves::2.0,CreateCircuitCurves,Sops/Curves/AB.CreateCircuitCurves.2.0.hda,opdef:/AB::Sop/CreateCircuitCurves::2.0?IconSVG,IconSVG,SOP_AB__CreateCircuitCurves.svg,has-custom
AB::CreateLODs::2.0,CreateLODs,Sops/Utilities/AB.CreateLODs.2.0.hda,SOP_subnet,,SOP_AB__CreateLODs.svg,stock
AB::CreateRGBNoise::1.0,CreateRGBNoise,Sops/Utilities/AB.CreateRGBNoise.1.0.hda,SOP_subnet,,SOP_AB__CreateRGBNoise.svg,stock
AB::CrystalGenerator::1.0,CrystalGenerator,Sops/Natural/AB.CrystalGenerator.1.0.hda,SOP_subnet,,SOP_AB__CrystalGenerator.svg,stock
AB::CycGenerator::1.0,CycGenerator,Sops/Modeling/AB.CycGenerator.1.0.hda,SOP_subnet,,SOP_AB__CycGenerator.svg,stock
AB::DestructionBuilding::1.0,DestructionBuilding,Sops/Buildings/AB.DestructionBuilding.1.0.hda,opdef:/AB::Sop/DestructionBuilding::1.0?IconImage,IconImage,SOP_AB__DestructionBuilding.svg,has-custom
AB::DomeGenerator::1.0,DomeGenerator,Sops/BuildingProps/AB.DomeGenerator.1.0.hda,SOP_subnet,,SOP_AB__DomeGenerator.svg,stock
AB::DoorGenerator::4.0,DoorGenerator,Sops/BuildingProps/AB.DoorGenerator.4.0.hda,opdef:/AB::Sop/DoorGenerator::4.0?IconSVG,AOD-HO-icon-doorMaker.svg;IconSVG,SOP_AB__DoorGenerator.svg,has-custom
AB::DoorHardware::2.0,DoorHardware,Sops/Parts/AB.DoorHardware.2.0.hda,SOP_subnet,,SOP_AB__DoorHardware.svg,stock
AB::DoorsCreateCopies::1.2,DoorsCreateCopies,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.2.hda,SOP_subnet,,SOP_AB__DoorsCreateCopies.svg,stock
AB::DowntownBuilding::3.6,DowntownBuilding,Sops/Buildings/AB.DowntownBuilding.3.6.hda,opdef:/AB::Sop/DowntownBuilding::3.6?IconImage,IconImage,SOP_AB__DowntownBuilding.svg,has-custom
AB::DroopyWires::1.0,DroopyWires,Sops/Modeling/AB.DroopyWires.1.0.hda,SOP_subnet,,SOP_AB__DroopyWires.svg,stock
AB::ElectricBoxGenerator::2.0,ElectricBoxGenerator,Sops/CityProps/AB.ElectricBoxGenerator.2.0.hda,SOP_subnet,,SOP_AB__ElectricBoxGenerator.svg,stock
AB::ElectricalParts::2.0,ElectricalParts,Sops/Parts/AB.ElectricalParts.2.0.hda,SOP_subnet,,SOP_AB__ElectricalParts.svg,stock
AB::ElectricalPropGenerator::2.0,ElectricalPropGenerator,Sops/BuildingProps/AB.ElectricalPropGenerator.2.0.hda,SOP_subnet,,SOP_AB__ElectricalPropGenerator.svg,stock
AB::ElectronicComponentGenerator::1.0,ElectronicComponentGenerator,Sops/Parts/AB.ElectronicComponentGenerator.1.0.hda,SOP_subnet,,SOP_AB__ElectronicComponentGenerator.svg,stock
AB::EngineAttributes::1.0,EngineAttributes,Sops/Utilities/AB.EngineAttributes.1.0.hda,SOP_subnet,,SOP_AB__EngineAttributes.svg,stock
AB::EqualizerGraph::1.0,EqualizerGraph,Sops/MotionGraphics/AB.EqualizerGraph.1.0.hda,SOP_subnet,,SOP_AB__EqualizerGraph.svg,stock
AB::ExportPack::1.0,ExportPack,Sops/Utilities/AB.ExportPack.1.0.hda,SOP_subnet,,SOP_AB__ExportPack.svg,stock
AB::ExtendedSweep::2.0,ExtendedSweep,Sops/Modeling/AB.ExtendedSweep.2.0.hda,SOP_subnet,,SOP_AB__ExtendedSweep.svg,stock
AB::FancyCurves::2.0,FancyCurves,Sops/Curves/AB.FancyCurves.2.0.hda,SOP_subnet,,SOP_AB__FancyCurves.svg,stock
AB::FireEscapeGenerator::2.0,FireEscapeGenerator,Sops/BuildingProps/AB.FireEscapeGenerator.2.0.hda,SOP_subnet,,SOP_AB__FireEscapeGenerator.svg,stock
AB::FireHydrantGenerator::2.0,FireHydrantGenerator,Sops/CityProps/AB.FireHydrantGenerator.2.0.hda,SOP_subnet,,SOP_AB__FireHydrantGenerator.svg,stock
AB::FlangeGenerator::2.0,FlangeGenerator,Sops/Parts/AB.FlangeGenerator.2.0.hda,SOP_subnet,,SOP_AB__FlangeGenerator.svg,stock
AB::FloatingIslands::1.0,FloatingIslands,Sops/Natural/AB.FloatingIslands.1.0.hda,opdef:/AB::Sop/FloatingIslands::1.0?IconSVG,IconSVG,SOP_AB__FloatingIslands.svg,has-custom
AB::Flocking::1.0,Flocking,Sops/Scatters/AB.Flocking.1.0.hda,SOP_subnet,,SOP_AB__Flocking.svg,stock
AB::FlowerDesigner::1.0,FlowerDesigner,Sops/Natural/AB.FlowerDesigner.1.0.hda,SOP_subnet,,SOP_AB__FlowerDesigner.svg,stock
AB::FlowerGenerator::1.0,FlowerGenerator,Sops/Natural/AB.FlowerGenerator.1.0.hda,SOP_subnet,,SOP_AB__FlowerGenerator.svg,stock
AB::FuturisticBuildings::2.2,FuturisticBuildings,Sops/Buildings/AB.FuturisticBuildings.2.2.hda,SOP_subnet,,SOP_AB__FuturisticBuildings.svg,stock
AB::GraphicSigns::2.0,GraphicSigns,Sops/Signs/AB.GraphicSigns.2.0.hda,SOP_subnet,,SOP_AB__GraphicSigns.svg,stock
