Tool,MenuLabels,Emits
AB::AirConCondeserGenerator::3.0,Principled|Unreal|Unity,none|none|none
AB::AntennaGenerator::3.0,Principled|Unreal|Unity,none|none|none
AB::ArchGenerator::2.0,Principled|Unreal|Unity,none|none|none
AB::AwningGenerator::2.0,Principled|Unreal|Unity|MaterialX,none|none|none|none
AB::BalconyGenerator::2.0,Principled|Unreal|Unity|MaterialX,Principled|Unreal|none|Principled
AB::BillboardGenerator::2.0,Principled|Unreal,Principled|Unreal
AB::BillboardGenerator::2.1,Principled|Unreal,Principled|Unreal
AB::BlocksRGB::1.0,Principled|Unreal|Unity,none|none|none
AB::BuildingLightGenerator::2.0,Principled|Unreal|Unity,none|Unreal|Unreal
AB::BuildingLightGenerator::2.1,Principled|Unreal|Unity,none|Unreal|Unreal
AB::CommercialSignGenerator::4.8,Principled|Unreal|Unity,Principled|Principled|Principled
AB::DestructionBuilding::1.0,Principled|Unreal,ERR|ERR
AB::DowntownBuilding::3.5,Principled|Unreal,ERR|ERR
AB::DowntownBuilding::3.6,Principled|Unreal,none|Unreal
AB::DroopyWires::1.0,Principled|Unreal|Unity,none|none|none
AB::ElectricalPropGenerator::2.0,Principled|Unreal|Unity|MaterialX,none|Unreal|none|none
AB::FireHydrantGenerator::2.0,Principled|Unreal|Unity,none|none|none
AB::HighwaySignGenerator::4.8,Principled|Unreal|Unity,Principled|Principled|Principled
AB::HighwaySignGenerator::4.9,Principled|Unreal|USD,Principled|Unreal|none
AB::HighwaySignGenerator::5.0,Principled|Unreal|USD,Principled|Unreal|none
AB::ModernLightGenerator::1.0,Principled|Unreal,none|Unreal
AB::PipeCreator::2.0,Principled|Unreal|Unity,Principled|Unreal|none
AB::PoleGenerator::1.0,Principled|Unreal|Unity,Principled|Unreal|Unreal
AB::RoadSimpleGenerator::2.6,Principled|Unreal,none|none
AB::RoadSimpleGenerator::2.8,Principled|Unreal,Principled|Principled
AB::RoadSimpleGenerator::2.9,Principled|Unreal,none|none
AB::RoadSimpleGenerator::3.0,Principled|Unreal,none|none
AB::RoadSimpleGenerator::3.1,Principled|Unreal,none|none
AB::RoadSimpleGenerator::3.2,Principled|Unreal,Principled|Principled
AB::RoadSimpleGenerator::3.3,Principled|Unreal,Principled|Principled
AB::RoadSimpleGenerator::3.4,Principled|Unreal,none|Unreal
AB::RoofTopSignGenerator::4.8,Principled|Unreal|Unity,none|Unreal|Unreal
AB::RoofVentGenerator::3.0,Principled|Unreal|Unity,none|none|none
AB::SateliteDishGenerator::3.0,Principled|Unreal|Unity,none|none|none
AB::SignHighway::1.0,Principled|Unreal|Unity,none|Unreal|Unreal
AB::SignHighway::2.0,Principled|Unreal|Unity,none|Unreal|Unreal
AB::SingleBlockGenerator::2.0,Principled|Unreal|Unity,none|Unreal|Unreal
AB::SkylightGenerator::2.0,Principled|Unreal|Unity,Principled|Unreal|Unreal
AB::SkyscraperGenerator::2.0,Principled|Unreal|Unity,none|Unreal|Unreal
AB::SkyscraperGenerator::2.1,Principled|Unreal|Unity,none|Unreal|Unreal
AB::SolarPanelGenerator::3.0,Principled|Unreal|Unity,none|none|none
AB::StairwayTops::3.0,Principled|Unreal|Unity,Principled|Principled|Principled
AB::StreetLightGenerator::2.2,Principled|Unreal,none|none
AB::StreetSignGenerator::2.0,Principled|Unreal|Unity,Principled|Unreal|Unreal
AB::StreetSignGenerator::3.0,Principled|Unreal|USD,Principled|Unreal|none
AB::WaterTankGenerator::2.0,None|Principled|Unreal,none|Principled|Unreal
