index,x,y,width,height,wm_code,section,subsection,notes
0,1957,0,48,54,,,,
1,1578,1,200,243,,,,
2,1803,1,79,91,,,,
3,1282,68,163,164,,,,
4,664,69,322,281,,,,
5,869,69,192,275,,,,
6,973,68,239,263,,,,
7,1410,69,114,155,,,,
8,1152,72,196,180,,,,
9,289,75,268,94,,,,
10,8,95,168,54,,,,
11,2617,125,157,30,,,,
12,2794,126,155,29,,,,
13,289,194,269,77,,,,
14,7,204,171,47,,,,
15,2617,226,155,29,,,,
16,2798,226,156,33,,,,
17,2081,235,57,196,,,,
18,1779,239,56,126,,,,
19,1877,239,87,157,,,,
20,1980,239,86,153,,,,
21,2181,239,89,266,,,,
22,2332,247,115,170,,,,
23,3,291,172,53,,,,
24,290,325,265,85,,,,
25,5,372,173,55,,,,
26,2609,394,49,26,,,,
27,288,435,247,54,,,,
28,2837,431,78,48,,,,
29,4,451,174,53,,,,
30,2608,450,60,23,,,,
31,5,544,188,57,,,,
32,290,606,276,89,,,,
33,2722,615,88,53,,,,
34,2862,622,116,46,,,,
35,1434,636,57,128,,,,
36,7,637,190,45,,,,
37,2614,644,59,46,,,,
38,1522,657,55,107,,,,
39,1611,658,51,106,,,,
40,1349,659,51,105,,,,
41,1266,663,52,101,,,,
42,1791,672,78,120,,,,
43,684,674,57,526,,,,
44,1177,678,52,86,,,,
45,1900,681,78,100,,,,
46,1087,690,48,72,,,,
47,2272,696,219,76,,,,
48,7,713,187,51,,,,
49,2861,727,117,45,,,,
50,290,726,316,59,,,,
51,2616,746,86,26,,,,
52,2722,752,107,20,,,,
53,805,803,52,396,,,,
54,291,816,310,50,,,,
55,4,823,249,55,,,,
56,921,825,38,374,,,,
57,1026,874,52,326,,,,
58,1138,905,44,294,,,,
59,1354,906,46,297,,,,
60,1245,905,45,294,,,,
61,8,916,265,48,,,,
62,2612,919,142,109,,,,
63,1461,935,59,268,,,,
64,1572,951,43,249,,,,
65,1675,952,47,248,,,,
66,1786,952,43,248,,,,
67,2181,957,39,79,,,,
68,1945,975,38,59,,,,
69,2022,975,38,63,,,,
70,2097,977,43,59,,,,
71,2305,1004,58,58,,,,
72,5,1063,258,49,,,,
73,2609,1175,234,33,,,,
74,6,1197,374,78,,,,
75,399,1199,200,53,,,,
76,400,1298,171,53,,,,
77,5,1322,333,81,,,,
78,400,1399,198,53,,,,
79,8,1487,372,54,,,,
80,7,1661,414,88,,,,
81,454,1665,119,79,,,,
82,1630,1379,33,322,,,,
83,1518,1445,86,254,,,,
84,1414,1455,33,246,,,,
85,1209,1471,91,228,,,,
86,1313,1472,60,228,,,,
87,1096,1491,87,210,,,,
88,1799,1498,156,98,,,,
89,1000,1500,58,199,,,,
90,2736,1501,127,31,,,,
91,2561,1500,108,32,,,,
92,2381,1500,108,35,,,,
93,2057,1507,96,156,,,,
94,901,1510,46,189,,,,
95,692,1526,51,172,,,,
96,790,1529,84,171,,,,
97,2174,1539,137,65,,,,
98,1799,1646,229,87,,,,
99,2382,1662,370,62,,,,
100,833,1875,77,90,,,,
101,1103,1878,458,51,,,,
102,736,1878,58,87,,,,
103,643,1882,56,83,,,,
104,2568,1886,151,54,,,,
105,2840,1887,111,421,,,,
106,938,1890,77,76,,,,
107,2297,1894,156,54,,,,
108,1841,1900,136,120,,,,
109,2076,1907,97,97,,,,
110,1631,1908,137,20,,,,
111,157,1986,150,109,,,,
112,2558,1996,175,52,,,,
113,349,1995,168,98,,,,
114,0,2024,103,221,,,,
115,2299,2028,137,57,,,,
116,938,2089,55,138,,,,
117,1098,2092,60,60,,,,
118,646,2093,82,82,,,,
119,776,2090,83,86,,,,
120,1277,2098,128,56,,,,
121,1472,2122,59,39,,,,
122,169,2141,134,106,,,,
123,1931,2141,57,128,,,,
124,2032,2144,66,109,,,,
125,355,2144,237,103,,,,
126,2138,2146,45,98,,,,
127,1634,2153,206,58,,,,
128,2303,2168,70,35,,,,
129,2567,2172,38,45,,,,
