code,name,confidence
X02E13,CountryCodeFIN,high
X02E14,CountryCodeGB,high
X02E15,CountryCodeGR,high
X02E16,CountryCodeH,high
X02E17,CountryCodeHK,high
X02E18,CountryCodeI,high
X02E19,CountryCodeIL,high
X02E20,CountryCodeIND,high
X02E21,CountryCodeIRL,high
X02E22,CountryCodeIS,high
X02E23,CountryCodeJ,high
X02E24,CountryCodeL,high
X02E25,CountryCodeMC,high
X02E26,CountryCodeMEX,high
X02E27,CountryCodeN,high
X02E28,CountryCodeNL,high
X02E29,CountryCodeP,high
X02E30,CountryCodePL,high
X02E31,CountryCodeRA,high
X02E32,CountryCodeRCH,high
X02E33,CountryCodeRO,high
X02E34,CountryCodeRP,high
X02E35,CountryCodeRUS,high
X02E36,CountryCodeS,high
X02E37,CountryCodeSK,high
X02E38,CountryCodeTR,high
X02E39,CountryCodeUSA,high
X02E40,CountryCodeV,high
X02E41,CountryCodeYV,high
X02E42,CountryCodeZA,high
