code,name,confidence
X01G29,Accessible,high
X01G30,EmergencyMedical,high
X01G31,Gas,high
X01G32,Diesel,high
X01G33,PropaneLPGas,medium
X01G34,Food,high
X01G35,Lodging,high
X01G36,Information,high
X01G37,RVSanitaryStation,medium
X01G38,LibraryReading,medium
X01G39,Marina,high
X01G40,WinterRecreation,medium
x01h01,Police,high
x01h02,BikeRoute,high
x01h03,Hiking,high
x01h04,Airport,high
x01h05,BusStation,high
x01h06,LightRailStation,medium
x01h07,MileMarker444,high
x01h08,RestArea,high
x01h09,TouristInfoCenter,high
x01h10,EndConstruction,high
x01h11,EndRoadWork,high
x01h12,ExitOnly,high
x01h13,ObjectMarkerStripesLeft,medium
x01h14,ObjectMarkerStripesRight,medium
x01h15,ObjectMarkerDiamondYellow,medium
x01h16,ObjectMarkerDiamondBlackYellow,medium
x01h17,BlankDiamondYellow,high
x01h18,SignalPanelAmberVertical,medium
x01h19,BlankPanelYellowVertical,high
x01h20,SignalPanelAmberHorizontal,medium
x01h21,BlankPanelYellowHorizontal,high
x01h22,ObjectMarkerDiamondRed,medium
x01h23,ObjectMarkerDiamondBlackRed,medium
x01h24,BlankDiamondRed,high
