code,name,confidence
X06G17,StarBurst,medium
X06G18,Magnet,high
X06G19,PhoneHandsetOffHook,high
X06G20,PhoneHandsetCrossed,high
X06G21,TelephoneDesk,high
X06G22,TelephoneRinging,high
X06G23,ElectricalDischarge,low
X06G24,DocumentWithPhone,low
X06G25,ScreenArrowsInward,low
X06G26,CardInsertUp,medium
X06G27,CardInsertDown,medium
X06G28,RampIncline,low
X06G29,FastForwardPanel,low
X06G30,EjectFromSlot,low
X06G31,OpenBook,high
X06G32,ManualInformation,high
X06G33,ManualService,high
X06G34,FaceWithCable,low
X06G35,PersonStanding,high
X06G36,PersonBending,medium
X06G37,PersonMotionTrail,medium
X06H01,Rectangle,high
X06H02,DiamondShape,high
X06H03,Hexagon,high
X06H04,RectangleWithBars,low
X06H05,Trapezoid,high
X06H06,Square,high
X06H07,TriangleDown,high
X06H08,TriangleUp,high
X06H09,Hourglass,medium
X06H10,DiamondSplit,low
X06H11,Wedge,low
X06H12,Parallelogram,high
X06H13,CurvedTab,low
X06H14,TriangleDownWithLine,low
X06H15,WavyBottomShape,low
