code,name,confidence
X03G17,RVCampingDark,high
X03G18,Parking,high
X03G19,CampingShelter,high
X03G20,TentCamping,high
X03G21,TrailerCamping,high
X03G22,RVCamping,high
X03G23,NoFirearms,high
X03G24,NoSmoking,high
X03G25,NoAutomobiles,high
X03G26,NoTrucks,high
X03G27,NoDrinkingWater,high
X03G28,NoTrailers,high
X03G29,NoCampfires,high
X03G30,NoPicnicking,high
X03G31,NoSkiJumping,high
X03G32,NoSledding,high
X03G33,NoSnowboarding,medium
X03G34,NoScubaDiving,high
X03H01,NoSwimming,high
X03H02,NoDiving,high
X03H03,NoFishing,high
X03H04,NoRockClimbing,high
X03H05,NoRockCollecting,high
X03H06,NoLittering,high
X03H07,NoClamming,medium
X03H08,NoFishingAlt,medium
X03H09,NoBeverages,high
X03H10,NoFoodOrDrink,high
X03H11,NoRadios,high
X03H12,NoRVs,high
X03H13,NoStrollers,high
X03H14,NoPedestrians,high
X03H15,NoPetsOnLeash,high
X03H16,NoFuel,high
X03H17,NoParking,high
X03H18,NoTentCamping,high
