code,name,confidence
X04E17,Accessible,high
X04E18,SecureAreaArrow,low
X04E19,NoEntryRound,high
X04E20,GreenCircleOpenPlate,low
X04E21,Litter,high
X04E22,NoLittering,high
X04E23,SanitaryFacilities,low
X04E24,RazorBladeDisposal,medium
X04E25,BabyChanging,high
X04E26,ToiletTissue,medium
X04E27,FireExtinguisher,high
X04E28,LifeRaft,high
X04E29,OxygenCylinder,high
X04E30,FirstAid,high
X04E31,Flashlight,high
X04E32,Battery,high
X04E33,WasteContainer,medium
X04E34,LightBulb,high
X04E35,Megaphone,high
X04E36,NoBaggage,high
X04E37,PowerOutlet,high
