zone	tools	kind	reason	confidence	family
HW_Bolt	11	SHADING	shared across 11 tools	0.8	Metal
HW_Nut	11	SHADING	shared across 11 tools	0.8	Metal
HW_Washer	11	SHADING	shared across 11 tools	0.8	Metal
LightEmit	7	SHADING	verified in cooked output	1.0	Emissive
WindowGlass	7	SHADING	verified in cooked output	1.0	Glass
DoorFrame	6	SHADING	verified in cooked output	1.0	Metal
DoorGlass	6	SHADING	verified in cooked output	1.0	Glass
Backplate	5	SHADING	verified in cooked output	1.0	Metal
LightBase	5	SHADING	verified in cooked output	1.0	
LightMetal	5	SHADING	verified in cooked output	1.0	Metal
PullBar	5	SHADING	verified in cooked output	1.0	Metal
SignFront	5	SHADING	shared across 5 tools	0.8	Signage
Walls	5	SHADING	verified in cooked output	1.0	Masonry
WindowFrame	5	SHADING	verified in cooked output	1.0	Metal
Corners	4	SHADING	verified in cooked output	1.0	Masonry
SignBack	4	SHADING	shared across 4 tools	0.8	Signage
WinCasement	4	SHADING	shared across 4 tools	0.8	
Pipes	3	SHADING	shared across 3 tools	0.8	Metal
Roof	3	SHADING	verified in cooked output	1.0	Roofing
RoofPlane	3	SHADING	shared across 3 tools	0.8	Roofing
TF_Cornice	3	SHADING	verified in cooked output	1.0	Masonry
WindowPlanes	3	SHADING	shared across 3 tools	0.8	Glass
WindowSill	3	SHADING	verified in cooked output	1.0	Trim
WindowTrim	3	SHADING	verified in cooked output	1.0	Trim
BackPlate	2	SHADING	shared across 2 tools	0.8	Metal
BuildingTrim	2	SHADING	verified in cooked output	1.0	Trim
DoorKnob	2	SHADING	shared across 2 tools	0.8	Metal
GussetPlate	2	SHADING	shared across 2 tools	0.8	Metal
HorizontalSupportsMetal	2	SHADING	shared across 2 tools	0.8	Metal
LightCasing	2	SHADING	shared across 2 tools	0.8	Metal
LightPipe	2	SHADING	shared across 2 tools	0.8	Metal
LightPipeMetal	2	SHADING	shared across 2 tools	0.8	Metal
MainVerticalSupports	2	SHADING	shared across 2 tools	0.8	Metal
MetalRing	2	SHADING	shared across 2 tools	0.8	Metal
MeterGlass	2	SHADING	shared across 2 tools	0.8	Glass
MeterMetal	2	SHADING	shared across 2 tools	0.8	Metal
PipeConnectorMetal	2	SHADING	shared across 2 tools	0.8	Metal
PlatformSupportsMetal	2	SHADING	shared across 2 tools	0.8	Metal
PoleMetalRound	2	SHADING	shared across 2 tools	0.8	Metal
RoofParapet	2	SHADING	shared across 2 tools	0.8	Masonry
SignFrame	2	SHADING	shared across 2 tools	0.8	Metal
SignMetal	2	SHADING	shared across 2 tools	0.8	Metal
SignPlatformMetal	2	SHADING	shared across 2 tools	0.8	Metal
StreetLightArm	2	SHADING	shared across 2 tools	0.8	
StreetLightCase	2	SHADING	shared across 2 tools	0.8	
StreetLightEmit	2	SHADING	shared across 2 tools	0.8	Emissive
Transformer_001	2	SHADING	shared across 2 tools	0.8	
UpperStructure	2	SHADING	shared across 2 tools	0.8	
UtilityPole/Bracket_002	2	SHADING	shared across 2 tools	0.8	Metal
UtilityPole/HorizPoleWood	2	SHADING	shared across 2 tools	0.8	Wood
UtilityPole/MainPoleWood	2	SHADING	shared across 2 tools	0.8	Wood
VertConnector_001/MetalBottom	2	SHADING	shared across 2 tools	0.8	Metal
VertConnector_001/PorclainMiddle	2	SHADING	shared across 2 tools	0.8	Plastic
VertConnector_001/PorclainTop	2	SHADING	shared across 2 tools	0.8	Plastic
VerticalSupportsMetal	2	SHADING	shared across 2 tools	0.8	Metal
WhiteReflective	2	SHADING	shared across 2 tools	0.8	
WindowTrimLower	2	SHADING	verified in cooked output	1.0	Trim
WindowTrimSides	2	SHADING	verified in cooked output	1.0	Trim
WindowTrimTop_01	2	SHADING	verified in cooked output	1.0	Trim
WindowWalls	2	SHADING	verified in cooked output	1.0	Masonry
Wires	2	SHADING	shared across 2 tools	0.8	Metal
surface	2	SHADING	shared across 2 tools	0.8	
AngleSupports	1	SHADING	names a Metal material	0.7	Metal
AntiSlipBase	1	SHADING	ruled by Jordan	1.0	
Arch	1	SHADING	names a Masonry material	0.7	Masonry
AwningCloth	1	SHADING	names a Fabric material	0.7	Fabric
BR_Road	1	SHADING	names a Ground material	0.7	Ground
BR_Sidewalk	1	SHADING	names a Masonry material	0.7	Masonry
BR_SupportsMetal	1	SHADING	names a Metal material	0.7	Metal
BannisterMountPlate	1	SHADING	names a Metal material	0.7	Metal
Bannisters	1	SHADING	ruled by Jordan	1.0	
Barbs	1	SHADING	names a Metal material	0.7	Metal
BillboardBack	1	SHADING	names a Wood material	0.7	Wood
BillboardFront	1	SHADING	names a Wood material	0.7	Wood
Block	1	SHADING	names a Masonry material	0.7	Masonry
Bolts	1	SHADING	names a Metal material	0.7	Metal
BuildingBlock	1	SHADING	names a Masonry material	0.7	Masonry
BuildingRoof	1	SHADING	names a Roofing material	0.7	Roofing
BuildingWalls	1	SHADING	names a Masonry material	0.7	Masonry
CP_WallBase_001	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_002	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_003	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_004	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_005	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_006	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_007	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_008	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_009	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_010	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_011	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_012	1	PACKING	numbered series	0.9	Masonry
CP_WallBase_013	1	PACKING	numbered series	0.9	Masonry
ConcreteStep	1	SHADING	names a Masonry material	0.7	Masonry
DomeCapDetail	1	SHADING	ruled by Jordan	1.0	
DomeTopTrim	1	SHADING	names a Trim material	0.7	Trim
DomeWallLower	1	SHADING	names a Masonry material	0.7	Masonry
DomeWallLowerTrim	1	SHADING	names a Masonry material	0.7	Masonry
DomeWallUpper	1	SHADING	names a Masonry material	0.7	Masonry
DoorPlane	1	SHADING	ruled by Jordan	1.0	
ExteriorBlocks_01	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_02	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_03	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_04	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_05	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_06	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_07	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_08	1	PACKING	numbered series	0.9	Masonry
ExteriorBlocks_09	1	PACKING	numbered series	0.9	Masonry
FanBezel	1	SHADING	ruled by Jordan	1.0	
FanGrate	1	SHADING	names a Metal material	0.7	Metal
FireHydrantBody	1	SHADING	ruled by Jordan	1.0	
Flange	1	SHADING	ruled by Jordan	1.0	
FloorPlate	1	SHADING	names a Metal material	0.7	Metal
FooterConcrete	1	SHADING	names a Masonry material	0.7	Masonry
FrontFence	1	SHADING	ruled by Jordan	1.0	
GuardRail	1	SHADING	names a Metal material	0.7	Metal
HorizontalBackSupports	1	SHADING	names a Metal material	0.7	Metal
Ibeam	1	SHADING	names a Metal material	0.7	Metal
InsideWalls	1	SHADING	names a Masonry material	0.7	Masonry
Kitchen/ButtonPlatsic	1	SHADING	ruled by Jordan	1.0	
Kitchen/ButtonRim	1	SHADING	ruled by Jordan	1.0	
Knob_01	1	SHADING	names a Metal material	0.7	Metal
Ladder	1	SHADING	ruled by Jordan	1.0	
LadderMain	1	SHADING	ruled by Jordan	1.0	
MainBody	1	SHADING	ruled by Jordan	1.0	
MainSupport	1	SHADING	names a Metal material	0.7	Metal
MainVerticalSupport	1	SHADING	names a Metal material	0.7	Metal
MainWaterPipe	1	SHADING	names a Metal material	0.7	Metal
MetalBackPlate	1	SHADING	names a Metal material	0.7	Metal
MetalPlateRound	1	SHADING	names a Metal material	0.7	Metal
MetalPlateSquare	1	SHADING	names a Metal material	0.7	Metal
Neon	1	SHADING	names a Emissive material	0.7	Emissive
OutsideWalls	1	SHADING	names a Masonry material	0.7	Masonry
Parapet	1	SHADING	verified in cooked output	1.0	Masonry
Pipe	1	SHADING	names a Metal material	0.7	Metal
PipeEnds	1	SHADING	names a Metal material	0.7	Metal
PlatformRailing	1	SHADING	names a Metal material	0.7	Metal
PlatformSupportMetal	1	SHADING	names a Metal material	0.7	Metal
Reflector	1	SHADING	ruled by Jordan	1.0	
Reflector1	1	PACKING	merge-collision suffix	0.85	
ReflectorBase	1	SHADING	ruled by Jordan	1.0	
ReflectorBase1	1	PACKING	merge-collision suffix	0.85	
RoadBottom	1	SHADING	names a Ground material	0.7	Ground
RoadCenterLine	1	SHADING	names a Ground material	0.7	Ground
RoadLines	1	SHADING	names a Ground material	0.7	Ground
RoadLines1	1	PACKING	merge-collision suffix	0.85	Ground
RoadSides	1	SHADING	names a Ground material	0.7	Ground
RoadTop	1	SHADING	names a Ground material	0.7	Ground
RoofInside	1	SHADING	names a Roofing material	0.7	Roofing
RoofSides	1	SHADING	names a Roofing material	0.7	Roofing
RoofSignFooter	1	SHADING	names a Roofing material	0.7	Roofing
RoofSignHorizonatlSupports	1	SHADING	names a Metal material	0.7	Metal
RoofSignVerticalPosts	1	SHADING	names a Roofing material	0.7	Roofing
RoofTop	1	SHADING	names a Roofing material	0.7	Roofing
RoofTrim	1	SHADING	names a Roofing material	0.7	Roofing
SideMountStructure	1	SHADING	names a Metal material	0.7	Metal
SidewalkCorner	1	SHADING	names a Masonry material	0.7	Masonry
SidewalkCornerCurb	1	SHADING	names a Masonry material	0.7	Masonry
SignArrowCasing	1	SHADING	names a Metal material	0.7	Metal
SignArrowNeon	1	SHADING	names a Emissive material	0.7	Emissive
SignArrows	1	SHADING	names a Signage material	0.7	Signage
SignNeon	1	SHADING	names a Emissive material	0.7	Emissive
SkylightGlass	1	SHADING	names a Glass material	0.7	Glass
SkylightMetal	1	SHADING	names a Metal material	0.7	Metal
SupportBracket	1	SHADING	names a Metal material	0.7	Metal
SupportWedge	1	SHADING	names a Metal material	0.7	Metal
TorsionTube	1	SHADING	ruled by Jordan	1.0	
Trim	1	SHADING	verified in cooked output	1.0	Trim
Underside	1	SHADING	verified in cooked output	1.0	
VentBody	1	SHADING	names a Metal material	0.7	Metal
VentGrill	1	SHADING	names a Metal material	0.7	Metal
VentRound_001	1	SHADING	names a Metal material	0.7	Metal
VerticalBackSupports	1	SHADING	names a Metal material	0.7	Metal
VerticalTrimLower	1	SHADING	names a Trim material	0.7	Trim
VerticalTrimUpper	1	SHADING	names a Trim material	0.7	Trim
Wall	1	SHADING	names a Masonry material	0.7	Masonry
WallLowerBand	1	SHADING	names a Masonry material	0.7	Masonry
WallsSides	1	SHADING	names a Masonry material	0.7	Masonry
WatertankBody	1	SHADING	ruled by Jordan	1.0	
WatertankBodySeams	1	SHADING	ruled by Jordan	1.0	
WatertankRoof	1	SHADING	names a Roofing material	0.7	Roofing
WeldLine	1	SHADING	ruled by Jordan	1.0	
WindowGlassLit	1	SHADING	names a Glass material	0.7	Glass
WindowGlowPlane	1	SHADING	names a Glass material	0.7	Glass
WindowSlats	1	SHADING	names a Glass material	0.7	Glass
WindowWall	1	SHADING	names a Masonry material	0.7	Masonry
WindowsLit	1	SHADING	names a Glass material	0.7	Glass
WindowsUnlit	1	SHADING	names a Glass material	0.7	Glass
Wire	1	SHADING	names a Metal material	0.7	Metal
WoodPlatform	1	SHADING	names a Wood material	0.7	Wood
cloth0	1	SHADING	names a Fabric material	0.7	Fabric
cloth1	1	SHADING	names a Fabric material	0.7	Fabric
cloth2	1	SHADING	names a Fabric material	0.7	Fabric
cloth3	1	SHADING	names a Fabric material	0.7	Fabric
crystal2	1	PACKING	ruled by Jordan	1.0	
hose	1	SHADING	ruled by Jordan	1.0	
hose_ring	1	SHADING	ruled by Jordan	1.0	
hose_ring_glow	1	SHADING	ruled by Jordan	1.0	
inside_vs_1	1	PACKING	ruled by Jordan	1.0	
inside_vs_2	1	PACKING	ruled by Jordan	1.0	
inside_vs_3	1	PACKING	ruled by Jordan	1.0	
inside_vs_4	1	PACKING	ruled by Jordan	1.0	
outside_vs_1	1	PACKING	ruled by Jordan	1.0	
outside_vs_2	1	PACKING	ruled by Jordan	1.0	
outside_vs_3	1	PACKING	ruled by Jordan	1.0	
outside_vs_4	1	PACKING	ruled by Jordan	1.0	
piece0	1	PACKING	piece index	1.0	
piece1	1	PACKING	piece index	1.0	
piece10	1	PACKING	piece index	1.0	
piece100	1	PACKING	piece index	1.0	
piece101	1	PACKING	piece index	1.0	
piece102	1	PACKING	piece index	1.0	
piece103	1	PACKING	piece index	1.0	
piece104	1	PACKING	piece index	1.0	
piece105	1	PACKING	piece index	1.0	
piece106	1	PACKING	piece index	1.0	
piece107	1	PACKING	piece index	1.0	
