Tool,Label,Category,File,Cook,Prims,HasZones,ZoneCount,Zones,NonCanonical,PackingKeysIgnored,Status,Owner,Notes
AB::AirConCondeserGenerator::3.0,AB Air-Con Condeser,BuildingProps,Sops/BuildingProps/AB.AirConCondeserGenerator.1.0.hda,OK,640,NO,0,,,0,,,
AB::AntennaGenerator::3.0,AB Antennas,BuildingProps,Sops/BuildingProps/AB.AntennaGenerator.1.0.hda,OK,73,NO,0,,,0,,,
AB::ApartmentRow::1.2,AB Apartment Row,Buildings,Sops/Buildings/AB.ApartmentRow.1.2.hda,OK,35725,YES,19,Corners FrontFence LightBase LightEmit LightMetal Roof TF_Cornice Walls WinCasement WindowFrame WindowGlass WindowPlanes WindowSill WindowTrim WindowTrimLower WindowTrimSides WindowTrimTop_01 WindowWall WindowWalls,,0,,,
AB::ArchGenerator::2.0,AB Arch Generator,Modeling,Sops/Modeling/AB.ArchGenerator.2.0.hda,OK,14108,YES,3,Arch DoorPlane Wall,,0,,,
AB::ArchitecturalPlantOns::2.0,AB Architectural,PlantOns,Sops/PlantOns/AB.ArchitecturalPlantOns.2.0.hda,OK,177,NO,0,,,0,,,
AB::AwningGenerator::2.0,AB Awning Generator,BuildingProps,Sops/BuildingProps/AB.AwningGenerator.2.0.hda,OK,922,YES,2,AngleSupports AwningCloth,,0,,,
AB::BalconyGenerator::2.0,AB Balcony Generator,BuildingProps,Sops/BuildingProps/AB.BalconyGenerator.2.0.hda,OK,3974,YES,8,BannisterMountPlate Bannisters FloorPlate HW_Bolt HW_Nut HW_Washer Ibeam MetalBackPlate,,0,,,
AB::BarbwireGenerator::2.0,AB Barbwire Generator,Modeling,Sops/Modeling/AB.BarbwireGenerator.2.0.hda,OK,2,YES,2,Barbs Wire,,0,,,
AB::BillboardGenerator::2.1,AB Billboards,Signs,Sops/Signs/AB.BillboardGenerator.2.1.hda,OK,31559,YES,12,BillboardBack BillboardFront Bolts HorizontalBackSupports LadderMain MainVerticalSupport PlatformRailing PlatformSupportMetal TorsionTube VerticalBackSupports WeldLine WoodPlatform,,0,,,
AB::BlocksRGB::1.0,AB Blocks From Map,CityGen,Sops/CityGen/AB.BlocksRGB.1.0.hda,OK,2,NO,0,,,0,,,
AB::BridgeGenerator::2.0,AB Bridges,CityProps,Sops/CityProps/AB.BridgeGenerator.2.0.hda,OK,12498,YES,3,BR_Road BR_Sidewalk BR_SupportsMetal,,0,,,
AB::BuildingFootprintGenerator::1.0,BuildingFootprintGenerator,Buildings,Sops/Buildings/AB.BuildingFootprintGenerator.1.0.hda,OK,8,NO,0,,,0,,,
AB::BuildingLightGenerator::2.1,AB Building Lights,BuildingProps,Sops/BuildingProps/AB.BuildingLightGenerator.2.1.hda,OK,114,YES,3,LightBase LightEmit LightMetal,,0,,,
AB::BusStopGenerator::2.0,AB Bus Stops,CityProps,Sops/CityProps/AB.BusStopGenerator.2.0.hda,OK,173,NO,0,,,0,,,
AB::ButtonPanels::1.1,AB Button Panels,Modeling,Sops/Modeling/AB.ButtonPanels.1.1.hda,OK,3753,YES,2,Kitchen/ButtonPlatsic Kitchen/ButtonRim,Kitchen/ButtonPlatsic Kitchen/ButtonRim,0,,,
AB::CeramicPotGenerator::1.0,AB Ceramic Pots,SetDressing,Sops/SetDressing/AB.CeramicPotGenerator.1.0.hda,OK,9600,YES,8,inside_vs_1 inside_vs_2 inside_vs_3 inside_vs_4 outside_vs_1 outside_vs_2 outside_vs_3 outside_vs_4,inside_vs_1 inside_vs_2 inside_vs_3 inside_vs_4 outside_vs_1 outside_vs_2 outside_vs_3 outside_vs_4,0,,,
AB::ChainGenerator::3.0,AB Chain Generator,Modeling,Sops/Modeling/AB.ChainGenerator.3.0.hda,OK,50,NO,0,,,0,,,
AB::CircularNoise::1.0,AB Circular Noise,Utilities,Sops/Utilities/AB.CircularNoise.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::CityGenerator::2.5,AB City Generator,CityGen,Sops/CityGen/AB.CityGenerator.2.5.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::CityGridGenerator::1.4,AB City Grids,CityGen,Sops/CityGen/AB.CityGridGenerator.1.4.hda,OK,200,NO,0,,,200,,,
AB::CliffordAttractor::1.0,AB Clifford Attractor,Scatters,Sops/Scatters/AB.CliffordAttractor.1.0.hda,OK,0,NO,0,,,0,,,
AB::ColorByVelocity::1.0,AB Color By Velocity,Utilities,Sops/Utilities/AB.ColorByVelocity.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::CommercialSignGenerator::4.8,AB Commercial Signs,Signs,Sops/Signs/AB.CommercialSignGenerator.4.8.hda,OK,12602,YES,11,HW_Bolt HW_Nut HW_Washer Neon SideMountStructure SignArrowCasing SignArrowNeon SignArrows SignBack SignFrame SignFront,,0,,,
AB::CopyByDensity::1.0,AB Copy By Density,CopyTools,Sops/CopyTools/AB.CopyByDensity.1_0.hda,OK,212,NO,0,,,0,,,
AB::CopyWithRotation::1.0,AB Copy With Rotation,CopyTools,Sops/CopyTools/AB.CopyWithRotation.1.0.hda,OK,42,NO,0,,,0,,,
AB::CreateCircuitCurves::2.0,AB Circuit Curves,Curves,Sops/Curves/AB.CreateCircuitCurves.2.0.hda,OK,40,NO,0,,,0,,,
AB::CreateLODs::2.0,AB LOD,Utilities,Sops/Utilities/AB.CreateLODs.2.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::CreateRGBNoise::1.0,AB Create RGB Noise,Utilities,Sops/Utilities/AB.CreateRGBNoise.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::CrystalGenerator::1.0,AB Crystal Generator,Natural,Sops/Natural/AB.CrystalGenerator.1.0.hda,OK,26194,YES,1,crystal2,crystal2,0,,,
AB::CycGenerator::1.0,AB Cyc Generator,Modeling,Sops/Modeling/AB.CycGenerator.1.0.hda,OK,12,NO,0,,,0,,,
AB::DestructionBuilding::1.0,AB Destruction Buildings,Buildings,Sops/Buildings/AB.DestructionBuilding.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::DomeGenerator::1.0,AB Domes,BuildingProps,Sops/BuildingProps/AB.DomeGenerator.1.0.hda,OK,49570,YES,7,DomeCapDetail DomeTopTrim DomeWallLower DomeWallLowerTrim DomeWallUpper VerticalTrimLower VerticalTrimUpper,,0,,,
AB::DoorGenerator::4.0,AB Door Generator,BuildingProps,Sops/BuildingProps/AB.DoorGenerator.4.0.hda,OK,1190,YES,4,BackPlate DoorFrame DoorGlass DoorKnob,,0,,,
AB::DoorHardware::2.0,AB Door Hardware,Parts,Sops/Parts/AB.DoorHardware.2.0.hda,OK,973,YES,2,BackPlate DoorKnob,,0,,,
AB::DoorsCreateCopies::1.2,AB Doors Create Copies,BuildingHelpers,Sops/BuildingHelpers/AB.DoorsCreateCopies.1.2.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::DowntownBuilding::3.6,AB Downtown Buildings,Buildings,Sops/Buildings/AB.DowntownBuilding.3.6.hda,OK,166885,YES,16,Backplate BuildingTrim Corners DoorFrame DoorGlass LightBase LightEmit LightMetal PullBar RoofParapet RoofPlane TF_Cornice Walls WinCasement WindowFrame WindowGlass,,0,,,
AB::DroopyWires::1.0,AB Droopy Wires,Modeling,Sops/Modeling/AB.DroopyWires.1.0.hda,OK,67864,YES,1,Wires,,0,,,
AB::ElectricBoxGenerator::2.0,AB Electric Boxes,CityProps,Sops/CityProps/AB.ElectricBoxGenerator.2.0.hda,OK,121,NO,0,,,0,,,
AB::ElectricalParts::2.0,AB Electrical Parts,Parts,Sops/Parts/AB.ElectricalParts.2.0.hda,OK,230,NO,0,,,0,,,
AB::ElectricalPropGenerator::2.0,AB Electrical Props,BuildingProps,Sops/BuildingProps/AB.ElectricalPropGenerator.2.0.hda,OK,2274,YES,5,MetalRing MeterGlass MeterMetal PipeConnectorMetal Pipes,,0,,,
AB::ElectronicComponentGenerator::1.0,AB Electronic Component,Parts,Sops/Parts/AB.ElectronicComponentGenerator.1.0.hda,OK,1528,YES,1,Knob_01,,0,,,
AB::EngineAttributes::1.0,AB Engine Attributes,Utilities,Sops/Utilities/AB.EngineAttributes.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::EqualizerGraph::1.0,AB Equalizer Graph,MotionGraphics,Sops/MotionGraphics/AB.EqualizerGraph.1.0.hda,OK,101,NO,0,,,0,,,
AB::ExportPack::1.0,AB Export Pack,Utilities,Sops/Utilities/AB.ExportPack.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::ExtendedSweep::2.0,AB Extended Sweep,Modeling,Sops/Modeling/AB.ExtendedSweep.2.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::FancyCurves::2.0,AB Fancy Curves,Curves,Sops/Curves/AB.FancyCurves.2.0.hda,OK,1,NO,0,,,0,,,
AB::FireEscapeGenerator::2.0,AB Fire Escape Generator,BuildingProps,Sops/BuildingProps/AB.FireEscapeGenerator.2.0.hda,OK,1788,NO,0,,,0,,,
AB::FireHydrantGenerator::2.0,AB Fire Hydrants,CityProps,Sops/CityProps/AB.FireHydrantGenerator.2.0.hda,OK,7547,YES,4,FireHydrantBody HW_Bolt HW_Nut HW_Washer,,0,,,
AB::FlangeGenerator::2.0,AB Flange Generator,Parts,Sops/Parts/AB.FlangeGenerator.2.0.hda,OK,70,NO,0,,,0,,,
AB::FloatingIslands::1.0,AB Floating Islands,Natural,Sops/Natural/AB.FloatingIslands.1.0.hda,OK,198,NO,0,,,0,,,
AB::Flocking::1.0,AB Flocking,Scatters,Sops/Scatters/AB.Flocking.1.0.hda,OK,0,NO,0,,,0,,,
AB::FlowerDesigner::1.0,AB Flower Designer,Natural,Sops/Natural/AB.FlowerDesigner.1.0.hda,OK,992,NO,0,,,0,,,
AB::FlowerGenerator::1.0,AB Flower Generator,Natural,Sops/Natural/AB.FlowerGenerator.1.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::FuturisticBuildings::2.2,AB Futuristic Buildings,Buildings,Sops/Buildings/AB.FuturisticBuildings.2.2.hda,OK,13289,YES,5,Parapet RoofPlane WindowFrame WindowGlass WindowGlassLit,,0,,,
AB::GraphicSigns::2.0,AB Graphic Signs,Signs,Sops/Signs/AB.GraphicSigns.2.0.hda,OK,68,NO,0,,,0,,,
AB::GrassGenerator::1.0,AB Grass Generator,WorldBuilding,Sops/WorldBuilding/AB.GrassGenerator.1.0.hda,OK,1,NO,0,,,0,,,
AB::GroupWalls::2.0,AB Group Walls,BuildingHelpers,Sops/BuildingHelpers/AB.GroupWalls.2.0.hda,COOK ERROR,-1,NO,0,,,0,,,The attempted operation failed. Error while cooking.
AB::GrowthFromPoints::1.0,AB Growth From Points,MotionGraphics,Sops/MotionGraphics/AB.GrowthFromPoints.1.0.hda,OK,0,NO,0,,,0,,,
AB::HandrailGenerator::3.0,AB Handrails,CityProps,Sops/CityProps/AB.HandrailGenerator.3.0.hda,OK,3908,NO,0,,,0,,,
AB::HangingClothGenerator::1.5,AB Hanging Cloth Maker,SetDressing,Sops/SetDressing/AB.HangingClothGenerator.1.5.hda,OK,4,YES,4,cloth0 cloth1 cloth2 cloth3,,0,,,
AB::HardwareMaker::2.0,AB Hardware,Parts,Sops/Parts/AB.HardwareMaker.2.0.hda,OK,372,YES,3,HW_Bolt HW_Nut HW_Washer,,0,,,
